"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Maricopa County, AZ"	"04013"	50	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Pima County, AZ"	"04019"	14	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Alameda County, CA"	"06001"	15	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Fresno County, CA"	"06019"	11	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Los Angeles County, CA"	"06037"	63	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Orange County, CA"	"06059"	30	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Riverside County, CA"	"06065"	21	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Sacramento County, CA"	"06067"	23	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"San Diego County, CA"	"06073"	38	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"San Francisco County, CA"	"06075"	21	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Santa Clara County, CA"	"06085"	12	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Adams County, CO"	"08001"	11	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Denver County, CO"	"08031"	11	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"New Haven County, CT"	"09009"	12	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"New Castle County, DE"	"10003"	12	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Brevard County, FL"	"12009"	11	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Broward County, FL"	"12011"	13	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Duval County, FL"	"12031"	11	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Hillsborough County, FL"	"12057"	20	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Miami-Dade County, FL"	"12086"	11	Not Applicable	Not Applicable
