"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"King County, WA"	"53033"	21	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Milwaukee County, WI"	"55079"	16	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Maricopa County, AZ"	"04013"	35	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Pima County, AZ"	"04019"	12	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Alameda County, CA"	"06001"	19	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Los Angeles County, CA"	"06037"	55	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Orange County, CA"	"06059"	10	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Riverside County, CA"	"06065"	11	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Sacramento County, CA"	"06067"	15	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"San Diego County, CA"	"06073"	22	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"San Francisco County, CA"	"06075"	14	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Denver County, CO"	"08031"	11	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"District of Columbia, DC"	"11001"	10	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Brevard County, FL"	"12009"	10	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Broward County, FL"	"12011"	12	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Duval County, FL"	"12031"	11	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Hillsborough County, FL"	"12057"	13	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Miami-Dade County, FL"	"12086"	10	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Palm Beach County, FL"	"12099"	20	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Pinellas County, FL"	"12103"	15	Not Applicable	Not Applicable
