"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Maricopa County, AZ"	"04013"	49	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Pima County, AZ"	"04019"	14	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Alameda County, CA"	"06001"	20	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Butte County, CA"	"06007"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Contra Costa County, CA"	"06013"	10	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Kern County, CA"	"06029"	17	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Los Angeles County, CA"	"06037"	57	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Orange County, CA"	"06059"	33	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Riverside County, CA"	"06065"	23	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Sacramento County, CA"	"06067"	17	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"San Bernardino County, CA"	"06071"	10	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"San Diego County, CA"	"06073"	41	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"San Francisco County, CA"	"06075"	25	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"San Joaquin County, CA"	"06077"	14	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Denver County, CO"	"08031"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"New Haven County, CT"	"09009"	12	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Brevard County, FL"	"12009"	10	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Broward County, FL"	"12011"	24	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Hillsborough County, FL"	"12057"	17	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Manatee County, FL"	"12081"	13	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Miami-Dade County, FL"	"12086"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Orange County, FL"	"12095"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Palm Beach County, FL"	"12099"	16	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Pasco County, FL"	"12101"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Pinellas County, FL"	"12103"	24	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Sarasota County, FL"	"12115"	13	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Fulton County, GA"	"13121"	10	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Honolulu County, HI"	"15003"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Cook County, IL"	"17031"	39	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Will County, IL"	"17197"	10	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Jefferson County, KY"	"21111"	15	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Jefferson Parish, LA"	"22051"	12	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Anne Arundel County, MD"	"24003"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Baltimore County, MD"	"24005"	13	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Baltimore city, MD"	"24510"	13	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Middlesex County, MA"	"25017"	10	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Worcester County, MA"	"25027"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Macomb County, MI"	"26099"	16	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Wayne County, MI"	"26163"	23	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"St. Louis city, MO"	"29510"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Clark County, NV"	"32003"	31	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Washoe County, NV"	"32031"	15	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Rockingham County, NH"	"33015"	10	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Camden County, NJ"	"34007"	12	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Monmouth County, NJ"	"34025"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Bernalillo County, NM"	"35001"	17	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Bronx County, NY"	"36005"	13	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Kings County, NY"	"36047"	17	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Nassau County, NY"	"36059"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"New York County, NY"	"36061"	11	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Queens County, NY"	"36081"	15	Not Applicable	Not Applicable
