"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	54571	Suppressed
	"Baldwin County, AL"	"01003"	26	182265	14.3
	"Barbour County, AL"	"01005"	Suppressed	27457	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22915	Suppressed
	"Blount County, AL"	"01009"	10	57322	17.4 (Unreliable)
	"Bullock County, AL"	"01011"	Suppressed	10914	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20947	Suppressed
	"Calhoun County, AL"	"01015"	21	118572	17.7
	"Chambers County, AL"	"01017"	Suppressed	34215	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25989	Suppressed
	"Chilton County, AL"	"01021"	11	43643	25.2 (Unreliable)
	"Choctaw County, AL"	"01023"	Suppressed	13859	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	25833	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13932	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14972	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	49948	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54428	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	13228	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	11539	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37765	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13906	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	80406	Suppressed
	"Dale County, AL"	"01045"	Suppressed	50251	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	43820	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	71109	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	79303	Suppressed
	"Escambia County, AL"	"01053"	10	38319	26.1 (Unreliable)
	"Etowah County, AL"	"01055"	12	104430	11.5 (Unreliable)
	"Fayette County, AL"	"01057"	Suppressed	17241	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31704	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26790	Suppressed
	"Greene County, AL"	"01063"	Suppressed	9045	Suppressed
	"Hale County, AL"	"01065"	Suppressed	15760	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17302	Suppressed
	"Houston County, AL"	"01069"	13	101547	12.8 (Unreliable)
	"Jackson County, AL"	"01071"	Suppressed	53227	Suppressed
	"Jefferson County, AL"	"01073"	60	658466	9.1
	"Lamar County, AL"	"01075"	Suppressed	14564	Suppressed
	"Lauderdale County, AL"	"01077"	11	92709	11.9 (Unreliable)
	"Lawrence County, AL"	"01079"	Suppressed	34339	Suppressed
	"Lee County, AL"	"01081"	Suppressed	140247	Suppressed
	"Limestone County, AL"	"01083"	14	82782	16.9 (Unreliable)
	"Lowndes County, AL"	"01085"	Suppressed	11299	Suppressed
	"Macon County, AL"	"01087"	Suppressed	21452	Suppressed
	"Madison County, AL"	"01089"	35	334811	10.5
	"Marengo County, AL"	"01091"	Suppressed	21027	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30776	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	93019	Suppressed
	"Mobile County, AL"	"01097"	45	412992	10.9
	"Monroe County, AL"	"01099"	Suppressed	23068	Suppressed
	"Montgomery County, AL"	"01101"	18	229363	7.8 (Unreliable)
	"Morgan County, AL"	"01103"	18	119490	15.1 (Unreliable)
	"Perry County, AL"	"01105"	Suppressed	10591	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	19746	Suppressed
	"Pike County, AL"	"01109"	Suppressed	32899	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22913	Suppressed
	"Russell County, AL"	"01113"	Suppressed	52947	Suppressed
	"St. Clair County, AL"	"01115"	15	83593	17.9 (Unreliable)
	"Shelby County, AL"	"01117"	26	195085	13.3
	"Sumter County, AL"	"01119"	Suppressed	13763	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	82291	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	41616	Suppressed
	"Tuscaloosa County, AL"	"01125"	27	194656	13.9
	"Walker County, AL"	"01127"	34	67023	50.7
	"Washington County, AL"	"01129"	Suppressed	17581	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	11670	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24484	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3141	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5561	Suppressed
	"Anchorage Borough, AK"	"02020"	38	291826	13.0
	"Bethel Census Area, AK"	"02050"	Suppressed	17013	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	997	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1826	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	4847	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	10	97581	10.2 (Unreliable)
	"Haines Borough, AK"	"02100"	Suppressed	2508	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	Suppressed	31275	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	55400	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13477	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	13592	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1631	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	10	88995	11.2 (Unreliable)
	"Nome Census Area, AK"	"02180"	Suppressed	9492	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	9430	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7523	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	5559	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	8881	Suppressed
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	3118	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	7029	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	9636	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	7459	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	6184	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	662	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	5588	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	71518	Suppressed
	"Cochise County, AZ"	"04003"	24	131346	18.3
	"Coconino County, AZ"	"04005"	18	134421	13.4 (Unreliable)
	"Gila County, AZ"	"04007"	10	53597	18.7 (Unreliable)
	"Graham County, AZ"	"04009"	Suppressed	37220	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	8437	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	20489	Suppressed
	"Maricopa County, AZ"	"04013"	610	3817117	16.0
	"Mohave County, AZ"	"04015"	68	200186	34.0
	"Navajo County, AZ"	"04017"	19	107449	17.7 (Unreliable)
	"Pima County, AZ"	"04019"	205	980263	20.9
	"Pinal County, AZ"	"04021"	51	375770	13.6
	"Santa Cruz County, AZ"	"04023"	Suppressed	47420	Suppressed
	"Yavapai County, AZ"	"04025"	46	211033	21.8
	"Yuma County, AZ"	"04027"	23	195751	11.7
	"Arkansas County, AR"	"05001"	Suppressed	19019	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	21853	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	41513	Suppressed
	"Benton County, AR"	"05007"	31	221339	14.0
	"Boone County, AR"	"05009"	Suppressed	36903	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	11508	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	5368	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	27446	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	11800	Suppressed
	"Clark County, AR"	"05019"	Suppressed	22995	Suppressed
	"Clay County, AR"	"05021"	Suppressed	16083	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	25970	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	8689	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	24552	Suppressed
	"Conway County, AR"	"05029"	Suppressed	21273	Suppressed
	"Craighead County, AR"	"05031"	13	96443	13.5 (Unreliable)
	"Crawford County, AR"	"05033"	13	61948	21.0 (Unreliable)
	"Crittenden County, AR"	"05035"	Suppressed	50902	Suppressed
	"Cross County, AR"	"05037"	Suppressed	17870	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	8116	Suppressed
	"Desha County, AR"	"05041"	Suppressed	13008	Suppressed
	"Drew County, AR"	"05043"	Suppressed	18509	Suppressed
	"Faulkner County, AR"	"05045"	16	113237	14.1 (Unreliable)
	"Franklin County, AR"	"05047"	Suppressed	18125	Suppressed
	"Fulton County, AR"	"05049"	Suppressed	12245	Suppressed
	"Garland County, AR"	"05051"	28	96024	29.2
	"Grant County, AR"	"05053"	Suppressed	17853	Suppressed
	"Greene County, AR"	"05055"	Suppressed	42090	Suppressed
	"Hempstead County, AR"	"05057"	Suppressed	22609	Suppressed
	"Hot Spring County, AR"	"05059"	Suppressed	32923	Suppressed
	"Howard County, AR"	"05061"	Suppressed	13789	Suppressed
	"Independence County, AR"	"05063"	Suppressed	36647	Suppressed
	"Izard County, AR"	"05065"	Suppressed	13696	Suppressed
	"Jackson County, AR"	"05067"	Suppressed	17997	Suppressed
	"Jefferson County, AR"	"05069"	Suppressed	77435	Suppressed
	"Johnson County, AR"	"05071"	Suppressed	25540	Suppressed
	"Lafayette County, AR"	"05073"	Suppressed	7645	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	17415	Suppressed
	"Lee County, AR"	"05077"	Suppressed	10424	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	14134	Suppressed
	"Little River County, AR"	"05081"	Suppressed	13171	Suppressed
	"Logan County, AR"	"05083"	Suppressed	22353	Suppressed
	"Lonoke County, AR"	"05085"	16	68356	23.4 (Unreliable)
	"Madison County, AR"	"05087"	Suppressed	15717	Suppressed
	"Marion County, AR"	"05089"	Suppressed	16653	Suppressed
	"Miller County, AR"	"05091"	Suppressed	43462	Suppressed
	"Mississippi County, AR"	"05093"	Suppressed	46480	Suppressed
	"Monroe County, AR"	"05095"	Suppressed	8149	Suppressed
	"Montgomery County, AR"	"05097"	Suppressed	9487	Suppressed
	"Nevada County, AR"	"05099"	Suppressed	8997	Suppressed
	"Newton County, AR"	"05101"	Suppressed	8330	Suppressed
	"Ouachita County, AR"	"05103"	Suppressed	26120	Suppressed
	"Perry County, AR"	"05105"	Suppressed	10445	Suppressed
	"Phillips County, AR"	"05107"	Suppressed	21757	Suppressed
	"Pike County, AR"	"05109"	Suppressed	11291	Suppressed
	"Poinsett County, AR"	"05111"	Suppressed	24583	Suppressed
	"Polk County, AR"	"05113"	Suppressed	20662	Suppressed
	"Pope County, AR"	"05115"	10	61754	16.2 (Unreliable)
	"Prairie County, AR"	"05117"	Suppressed	8715	Suppressed
	"Pulaski County, AR"	"05119"	55	382748	14.4
	"Randolph County, AR"	"05121"	Suppressed	17969	Suppressed
	"St. Francis County, AR"	"05123"	Suppressed	28258	Suppressed
	"Saline County, AR"	"05125"	Suppressed	107118	Suppressed
	"Scott County, AR"	"05127"	Suppressed	11233	Suppressed
	"Searcy County, AR"	"05129"	Suppressed	8195	Suppressed
	"Sebastian County, AR"	"05131"	14	125744	11.1 (Unreliable)
	"Sevier County, AR"	"05133"	Suppressed	17058	Suppressed
	"Sharp County, AR"	"05135"	Suppressed	17264	Suppressed
	"Stone County, AR"	"05137"	Suppressed	12394	Suppressed
	"Union County, AR"	"05139"	Suppressed	41639	Suppressed
	"Van Buren County, AR"	"05141"	Suppressed	17295	Suppressed
