County_cd,Deaths,State,County_nm,Year,Month
04013,44,AZ,Maricopa,2006,01
04019,11,AZ,Pima,2006,01
06029,12,CA,Kern,2006,01
06037,52,CA,Los Angeles,2006,01
06059,21,CA,Orange,2006,01
06065,11,CA,Riverside,2006,01
06067,21,CA,Sacramento,2006,01
06073,23,CA,San Diego,2006,01
06075,11,CA,San Francisco,2006,01
08031,12,CO,Denver,2006,01
11001,10,DC,District of C,2006,01
12011,18,FL,Broward,2006,01
12031,21,FL,Duval,2006,01
12057,19,FL,Hillsborough,2006,01
12086,14,FL,Miami-Dade,2006,01
12099,18,FL,Palm Beach,2006,01
12103,16,FL,Pinellas,2006,01
12127,11,FL,Volusia,2006,01
17031,48,IL,Cook,2006,01
24005,16,MD,Baltimore,2006,01
24510,24,MD,Baltimo,2006,01
25025,10,MA,Suffolk,2006,01
25027,13,MA,Worcester,2006,01
26099,18,MI,Macomb,2006,01
26163,27,MI,Wayne,2006,01
29189,11,MO,St. Louis,2006,01
32003,24,NV,Clark,2006,01
34007,13,NJ,Camden,2006,01
34013,17,NJ,Essex,2006,01
35001,16,NM,Bernalillo,2006,01
36005,10,NY,Bronx,2006,01
36047,18,NY,Kings,2006,01
36059,13,NY,Nassau,2006,01
36061,16,NY,New York,2006,01
36081,18,NY,Queens,2006,01
36103,11,NY,Suffolk,2006,01
39035,11,OH,Cuyahoga,2006,01
39049,15,OH,Franklin,2006,01
39061,12,OH,Hamilton,2006,01
39113,10,OH,Montgomery,2006,01
40143,13,OK,Tulsa,2006,01
41051,12,OR,Multnomah,2006,01
42003,12,PA,Allegheny,2006,01
42101,24,PA,Philadelphia,2006,01
47037,11,TN,Davidson,2006,01
47093,11,TN,Knox,2006,01
47157,12,TN,Shelby,2006,01
48029,18,TX,Bexar,2006,01
48113,17,TX,Dallas,2006,01
48201,34,TX,Harris,2006,01
48439,11,TX,Tarrant,2006,01
49035,15,UT,Salt Lake,2006,01
53033,21,WA,King,2006,01
55079,16,WI,Milwaukee,2006,01
04013,35,AZ,Maricopa,2006,02
04019,12,AZ,Pima,2006,02
06001,19,CA,Alameda,2006,02
06037,55,CA,Los Angeles,2006,02
06059,10,CA,Orange,2006,02
06065,11,CA,Riverside,2006,02
06067,15,CA,Sacramento,2006,02
06073,22,CA,San Diego,2006,02
06075,14,CA,San Francisco,2006,02
08031,11,CO,Denver,2006,02
11001,10,DC,District of C,2006,02
12009,10,FL,Brevard,2006,02
12011,12,FL,Broward,2006,02
12031,11,FL,Duval,2006,02
12057,13,FL,Hillsborough,2006,02
12086,10,FL,Miami-Dade,2006,02
12099,20,FL,Palm Beach,2006,02
12103,15,FL,Pinellas,2006,02
17031,48,IL,Cook,2006,02
24510,15,MD,Baltimo,2006,02
25017,12,MA,Middlesex,2006,02
25025,12,MA,Suffolk,2006,02
25027,10,MA,Worcester,2006,02
26099,15,MI,Macomb,2006,02
26163,32,MI,Wayne,2006,02
32003,31,NV,Clark,2006,02
34013,10,NJ,Essex,2006,02
35001,13,NM,Bernalillo,2006,02
36005,15,NY,Bronx,2006,02
36047,19,NY,Kings,2006,02
36061,17,NY,New York,2006,02
39035,15,OH,Cuyahoga,2006,02
39049,14,OH,Franklin,2006,02
39061,10,OH,Hamilton,2006,02
41051,11,OR,Multnomah,2006,02
42003,13,PA,Allegheny,2006,02
42101,25,PA,Philadelphia,2006,02
47037,12,TN,Davidson,2006,02
48113,14,TX,Dallas,2006,02
48201,29,TX,Harris,2006,02
48439,10,TX,Tarrant,2006,02
49035,16,UT,Salt Lake,2006,02
53033,23,WA,King,2006,02
55079,22,WI,Milwaukee,2006,02
04013,51,AZ,Maricopa,2006,03
04019,15,AZ,Pima,2006,03
06001,16,CA,Alameda,2006,03
06019,14,CA,Fresno,2006,03
06037,61,CA,Los Angeles,2006,03
06059,21,CA,Orange,2006,03
06067,27,CA,Sacramento,2006,03
06073,25,CA,San Diego,2006,03
06075,15,CA,San Francisco,2006,03
06077,10,CA,San Joaquin,2006,03
08031,17,CO,Denver,2006,03
09003,13,CT,Hartford,2006,03
09009,11,CT,New Haven,2006,03
12011,24,FL,Broward,2006,03
12031,10,FL,Duval,2006,03
12057,14,FL,Hillsborough,2006,03
12086,15,FL,Miami-Dade,2006,03
12099,15,FL,Palm Beach,2006,03
12103,16,FL,Pinellas,2006,03
17031,50,IL,Cook,2006,03
17197,11,IL,Will,2006,03
24005,11,MD,Baltimore,2006,03
24510,22,MD,Baltimo,2006,03
25005,11,MA,Bristol,2006,03
25009,13,MA,Essex,2006,03
25023,10,MA,Plymouth,2006,03
25027,22,MA,Worcester,2006,03
26125,11,MI,Oakland,2006,03
26163,28,MI,Wayne,2006,03
29189,11,MO,St. Louis,2006,03
32003,33,NV,Clark,2006,03
35001,16,NM,Bernalillo,2006,03
36005,10,NY,Bronx,2006,03
36047,25,NY,Kings,2006,03
36059,15,NY,Nassau,2006,03
36061,19,NY,New York,2006,03
36081,10,NY,Queens,2006,03
36103,13,NY,Suffolk,2006,03
36119,11,NY,Westchester,2006,03
39035,21,OH,Cuyahoga,2006,03
39049,12,OH,Franklin,2006,03
39113,14,OH,Montgomery,2006,03
40109,11,OK,Oklahoma,2006,03
40143,10,OK,Tulsa,2006,03
41029,11,OR,Jackson,2006,03
42003,20,PA,Allegheny,2006,03
42101,27,PA,Philadelphia,2006,03
48113,23,TX,Dallas,2006,03
48201,36,TX,Harris,2006,03
48439,15,TX,Tarrant,2006,03
49035,25,UT,Salt Lake,2006,03
53033,16,WA,King,2006,03
53063,12,WA,Spokane,2006,03
55079,10,WI,Milwaukee,2006,03
04013,42,AZ,Maricopa,2006,04
04019,12,AZ,Pima,2006,04
06001,19,CA,Alameda,2006,04
06029,11,CA,Kern,2006,04
06037,49,CA,Los Angeles,2006,04
06059,20,CA,Orange,2006,04
06065,14,CA,Riverside,2006,04
06067,18,CA,Sacramento,2006,04
06073,24,CA,San Diego,2006,04
06075,13,CA,San Francisco,2006,04
06111,10,CA,Ventura,2006,04
11001,12,DC,District of C,2006,04
12011,16,FL,Broward,2006,04
12031,13,FL,Duval,2006,04
12057,14,FL,Hillsborough,2006,04
12086,14,FL,Miami-Dade,2006,04
12099,21,FL,Palm Beach,2006,04
12103,17,FL,Pinellas,2006,04
13067,10,GA,Cobb,2006,04
17031,78,IL,Cook,2006,04
20173,12,KS,Sedgwick,2006,04
22051,11,LA,Jefferson,2006,04
24510,19,MD,Baltimo,2006,04
25005,10,MA,Bristol,2006,04
25017,18,MA,Middlesex,2006,04
25025,15,MA,Suffolk,2006,04
26099,15,MI,Macomb,2006,04
26163,21,MI,Wayne,2006,04
27053,11,MN,Hennepin,2006,04
32003,31,NV,Clark,2006,04
34007,13,NJ,Camden,2006,04
34013,13,NJ,Essex,2006,04
35001,15,NM,Bernalillo,2006,04
36005,11,NY,Bronx,2006,04
36047,10,NY,Kings,2006,04
36061,14,NY,New York,2006,04
36081,10,NY,Queens,2006,04
36103,17,NY,Suffolk,2006,04
39035,15,OH,Cuyahoga,2006,04
39049,17,OH,Franklin,2006,04
39113,11,OH,Montgomery,2006,04
41051,12,OR,Multnomah,2006,04
42003,14,PA,Allegheny,2006,04
42045,12,PA,Delaware,2006,04
42101,49,PA,Philadelphia,2006,04
44007,12,RI,Providence,2006,04
47093,14,TN,Knox,2006,04
48029,13,TX,Bexar,2006,04
48113,17,TX,Dallas,2006,04
48201,37,TX,Harris,2006,04
48453,10,TX,Travis,2006,04
49035,25,UT,Salt Lake,2006,04
49049,12,UT,Utah,2006,04
53033,22,WA,King,2006,04
53053,10,WA,Pierce,2006,04
55079,18,WI,Milwaukee,2006,04
04013,38,AZ,Maricopa,2006,05
04019,21,AZ,Pima,2006,05
06013,14,CA,Contra Costa,2006,05
06019,11,CA,Fresno,2006,05
06037,65,CA,Los Angeles,2006,05
06059,15,CA,Orange,2006,05
06065,12,CA,Riverside,2006,05
06067,16,CA,Sacramento,2006,05
06073,22,CA,San Diego,2006,05
06075,13,CA,San Francisco,2006,05
06111,10,CA,Ventura,2006,05
08041,10,CO,El Paso,2006,05
09001,13,CT,Fairfield,2006,05
09009,11,CT,New Haven,2006,05
12009,10,FL,Brevard,2006,05
12011,24,FL,Broward,2006,05
12057,19,FL,Hillsborough,2006,05
12071,10,FL,Lee,2006,05
