County_Code,Deaths,Population,State,County_nm
05127,-1,11233,AR,Scott
05129,-1,8195,AR,Searcy
05131,14,125744,AR,Sebastian
05133,-1,17058,AR,Sevier
05135,-1,17264,AR,Sharp
05137,-1,12394,AR,Stone
05139,-1,41639,AR,Union
05141,-1,17295,AR,Van Buren
05143,14,203065,AR,Washington
05145,-1,77076,AR,White
05147,-1,7260,AR,Woodruff
05149,-1,22185,AR,Yell
06001,132,1510271,CA,Alameda
06003,-1,1175,CA,Alpine
06005,11,38091,CA,Amador
06007,85,220000,CA,Butte
06009,12,45578,CA,Calaveras
06011,-1,21419,CA,Colusa
06013,94,1049025,CA,Contra Costa
06015,-1,28610,CA,Del Norte
06017,43,181058,CA,El Dorado
06019,104,930450,CA,Fresno
06021,-1,28122,CA,Glenn
06023,48,134623,CA,Humboldt
06025,10,174528,CA,Imperial
06027,-1,18546,CA,Inyo
06029,140,839631,CA,Kern
06031,14,152982,CA,Kings
06033,36,64665,CA,Lake
06035,12,34895,CA,Lassen
06037,701,9818605,CA,Los Angeles
06039,20,150865,CA,Madera
06041,35,252409,CA,Marin
06043,-1,18251,CA,Mariposa
06045,19,87841,CA,Mendocino
06047,29,255793,CA,Merced
06049,-1,9686,CA,Modoc
06051,-1,14202,CA,Mono
06053,43,415057,CA,Monterey
06055,17,136484,CA,Napa
06057,14,98764,CA,Nevada
06059,313,3010232,CA,Orange
06061,27,348432,CA,Placer
06063,-1,20007,CA,Plumas
06065,255,2189641,CA,Riverside
06067,216,1418788,CA,Sacramento
06069,-1,55269,CA,San Benito
06071,134,2035210,CA,San Bernardino
06073,368,3095313,CA,San Diego
06075,170,805235,CA,San Francisco
06077,129,685306,CA,San Joaquin
06079,40,269637,CA,San Luis Obispo
06081,55,718451,CA,San Mateo
06083,49,423895,CA,Santa Barbara
06085,133,1781642,CA,Santa Clara
06087,47,262382,CA,Santa Cruz
06089,49,177223,CA,Shasta
06091,-1,3240,CA,Sierra
06093,13,44900,CA,Siskiyou
06095,52,413344,CA,Solano
06097,83,483878,CA,Sonoma
06099,90,514453,CA,Stanislaus
06101,18,94737,CA,Sutter
06103,-1,63463,CA,Tehama
06105,-1,13786,CA,Trinity
06107,26,442179,CA,Tulare
06109,18,55365,CA,Tuolumne
06111,96,823318,CA,Ventura
06113,15,200849,CA,Yolo
06115,-1,72155,CA,Yuba
08001,66,441603,CO,Adams
08003,-1,15445,CO,Alamosa
08005,82,572003,CO,Arapahoe
08007,-1,12084,CO,Archuleta
08009,-1,3788,CO,Baca
08011,-1,6499,CO,Bent
08013,23,294567,CO,Boulder
08014,-1,55889,CO,Broomfield
08015,-1,17809,CO,Chaffee
08017,-1,1836,CO,Cheyenne
08019,-1,9088,CO,Clear Creek
08021,-1,8256,CO,Conejos
08023,-1,3524,CO,Costilla
08025,-1,5823,CO,Crowley
08027,-1,4255,CO,Custer
08029,-1,30952,CO,Delta
08031,128,600158,CO,Denver
08033,-1,2064,CO,Dolores
08035,23,285465,CO,Douglas
08037,-1,52197,CO,Eagle
08039,-1,23086,CO,Elbert
08041,79,622263,CO,El Paso
08043,-1,46824,CO,Fremont
08045,-1,56389,CO,Garfield
08047,-1,5441,CO,Gilpin
08049,-1,14843,CO,Grand
08051,-1,15324,CO,Gunnison
08053,-1,843,CO,Hinsdale
08055,-1,6711,CO,Huerfano
08057,-1,1394,CO,Jackson
08059,57,534543,CO,Jefferson
08061,-1,1398,CO,Kiowa
08063,-1,8270,CO,Kit Carson
08065,-1,7310,CO,Lake
08067,-1,51334,CO,La Plata
08069,40,299630,CO,Larimer
08071,-1,15507,CO,Las Animas
08073,-1,5467,CO,Lincoln
08075,-1,22709,CO,Logan
08077,22,146723,CO,Mesa
08079,-1,712,CO,Mineral
08081,-1,13795,CO,Moffat
08083,-1,25535,CO,Montezuma
08085,-1,41276,CO,Montrose
08087,-1,28159,CO,Morgan
08089,-1,18831,CO,Otero
08091,-1,4436,CO,Ouray
08093,-1,16206,CO,Park
08095,-1,4442,CO,Phillips
08097,-1,17148,CO,Pitkin
08099,-1,12551,CO,Prowers
08101,23,159063,CO,Pueblo
08103,-1,6666,CO,Rio Blanco
08105,-1,11982,CO,Rio Grande
08107,-1,23509,CO,Routt
08109,-1,6108,CO,Saguache
08111,-1,699,CO,San Juan
08113,-1,7359,CO,San Miguel
08115,-1,2379,CO,Sedgwick
08117,-1,27994,CO,Summit
08119,-1,23350,CO,Teller
08121,-1,4814,CO,Washington
08123,28,252825,CO,Weld
08125,-1,10043,CO,Yuma
09001,61,916829,CT,Fairfield
09003,84,894014,CT,Hartford
09005,21,189927,CT,Litchfield
09007,26,165676,CT,Middlesex
09009,116,862477,CT,New Haven
09011,31,274055,CT,New London
09013,-1,152691,CT,Tolland
09015,18,118428,CT,Windham
10001,27,162310,DE,Kent
10003,84,538479,DE,New Castle
10005,34,197145,DE,Sussex
11001,78,601723,DC,District of C
12001,25,247336,FL,Alachua
12003,-1,27115,FL,Baker
12005,27,168852,FL,Bay
12007,-1,28520,FL,Bradford
12009,137,543376,FL,Brevard
12011,262,1748066,FL,Broward
12013,-1,14625,FL,Calhoun
12015,11,159978,FL,Charlotte
12017,34,141236,FL,Citrus
12019,26,190865,FL,Clay
12021,45,321520,FL,Collier
12023,18,67531,FL,Columbia
12027,-1,34862,FL,DeSoto
12029,-1,16422,FL,Dixie
12031,149,864263,FL,Duval
12033,34,297619,FL,Escambia
12035,13,95696,FL,Flagler
12037,-1,11549,FL,Franklin
12039,-1,46389,FL,Gadsden
12041,-1,16939,FL,Gilchrist
12043,-1,12884,FL,Glades
12045,-1,15863,FL,Gulf
12047,-1,14799,FL,Hamilton
12049,-1,27731,FL,Hardee
12051,-1,39140,FL,Hendry
12053,57,172778,FL,Hernando
12055,13,98786,FL,Highlands
12057,264,1229226,FL,Hillsborough
12059,-1,19927,FL,Holmes
12061,22,138028,FL,Indian River
12063,-1,49746,FL,Jackson
12065,-1,14761,FL,Jefferson
12067,-1,8870,FL,Lafayette
12069,39,297052,FL,Lake
12071,107,618754,FL,Lee
12073,13,275487,FL,Leon
12075,11,40801,FL,Levy
12077,-1,8365,FL,Liberty
12079,-1,19224,FL,Madison
12081,78,322833,FL,Manatee
12083,59,331298,FL,Marion
12085,22,146318,FL,Martin
12086,98,2496435,FL,Miami-Dade
12087,18,73090,FL,Monroe
