County_cd,Deaths,State,County_nm,Year,Month
04013,54,AZ,Maricopa,2012,01
04019,19,AZ,Pima,2012,01
06013,13,CA,Contra Costa,2012,01
06029,16,CA,Kern,2012,01
06037,62,CA,Los Angeles,2012,01
06059,33,CA,Orange,2012,01
06065,29,CA,Riverside,2012,01
06067,27,CA,Sacramento,2012,01
06071,10,CA,San Bernardino,2012,01
06073,27,CA,San Diego,2012,01
06075,15,CA,San Francisco,2012,01
06085,10,CA,Santa Clara,2012,01
08001,13,CO,Adams,2012,01
08031,10,CO,Denver,2012,01
09003,13,CT,Hartford,2012,01
10003,11,DE,New Castle,2012,01
12009,14,FL,Brevard,2012,01
12011,23,FL,Broward,2012,01
12031,17,FL,Duval,2012,01
12057,15,FL,Hillsborough,2012,01
12081,10,FL,Manatee,2012,01
12086,18,FL,Miami-Dade,2012,01
12095,11,FL,Orange,2012,01
12101,13,FL,Pasco,2012,01
12103,27,FL,Pinellas,2012,01
12115,11,FL,Sarasota,2012,01
13121,13,GA,Fulton,2012,01
17031,55,IL,Cook,2012,01
17197,11,IL,Will,2012,01
18097,18,IN,Marion,2012,01
21111,18,KY,Jefferson,2012,01
24005,10,MD,Baltimore,2012,01
24033,10,MD,Prince George's,2012,01
24510,19,MD,Baltimo,2012,01
25017,10,MA,Middlesex,2012,01
26099,13,MI,Macomb,2012,01
26125,12,MI,Oakland,2012,01
26163,20,MI,Wayne,2012,01
27053,13,MN,Hennepin,2012,01
29095,10,MO,Jackson,2012,01
29189,11,MO,St. Louis,2012,01
32003,40,NV,Clark,2012,01
32031,12,NV,Washoe,2012,01
34005,10,NJ,Burlington,2012,01
34007,17,NJ,Camden,2012,01
34025,11,NJ,Monmouth,2012,01
34029,14,NJ,Ocean,2012,01
35001,14,NM,Bernalillo,2012,01
36005,17,NY,Bronx,2012,01
36047,17,NY,Kings,2012,01
36059,13,NY,Nassau,2012,01
36061,18,NY,New York,2012,01
36081,10,NY,Queens,2012,01
36103,20,NY,Suffolk,2012,01
39035,21,OH,Cuyahoga,2012,01
39049,22,OH,Franklin,2012,01
39061,11,OH,Hamilton,2012,01
39113,16,OH,Montgomery,2012,01
40109,19,OK,Oklahoma,2012,01
41051,10,OR,Multnomah,2012,01
42003,16,PA,Allegheny,2012,01
42045,13,PA,Delaware,2012,01
42101,38,PA,Philadelphia,2012,01
44003,12,RI,Kent,2012,01
47037,14,TN,Davidson,2012,01
47157,10,TN,Shelby,2012,01
48029,16,TX,Bexar,2012,01
48113,23,TX,Dallas,2012,01
48201,23,TX,Harris,2012,01
48439,21,TX,Tarrant,2012,01
48453,18,TX,Travis,2012,01
49035,26,UT,Salt Lake,2012,01
53033,13,WA,King,2012,01
53061,14,WA,Snohomish,2012,01
55079,14,WI,Milwaukee,2012,01
04013,49,AZ,Maricopa,2012,02
04019,10,AZ,Pima,2012,02
06007,11,CA,Butte,2012,02
06019,11,CA,Fresno,2012,02
06029,13,CA,Kern,2012,02
06037,48,CA,Los Angeles,2012,02
06059,28,CA,Orange,2012,02
06065,21,CA,Riverside,2012,02
06067,12,CA,Sacramento,2012,02
06071,10,CA,San Bernardino,2012,02
06073,34,CA,San Diego,2012,02
06075,13,CA,San Francisco,2012,02
06085,11,CA,Santa Clara,2012,02
08031,18,CO,Denver,2012,02
12009,12,FL,Brevard,2012,02
12011,19,FL,Broward,2012,02
12031,22,FL,Duval,2012,02
12057,19,FL,Hillsborough,2012,02
12086,13,FL,Miami-Dade,2012,02
12099,21,FL,Palm Beach,2012,02
12101,11,FL,Pasco,2012,02
12103,18,FL,Pinellas,2012,02
17031,60,IL,Cook,2012,02
17043,14,IL,DuPage,2012,02
17097,10,IL,Lake,2012,02
17201,10,IL,Winnebago,2012,02
18097,10,IN,Marion,2012,02
21111,17,KY,Jefferson,2012,02
24005,12,MD,Baltimore,2012,02
25005,10,MA,Bristol,2012,02
25017,14,MA,Middlesex,2012,02
26099,14,MI,Macomb,2012,02
26163,30,MI,Wayne,2012,02
27053,13,MN,Hennepin,2012,02
29099,10,MO,Jefferson,2012,02
29189,17,MO,St. Louis,2012,02
32003,33,NV,Clark,2012,02
32031,11,NV,Washoe,2012,02
34007,14,NJ,Camden,2012,02
35001,18,NM,Bernalillo,2012,02
36005,11,NY,Bronx,2012,02
36047,18,NY,Kings,2012,02
36061,14,NY,New York,2012,02
36103,19,NY,Suffolk,2012,02
37119,10,NC,Mecklenburg,2012,02
39017,13,OH,Butler,2012,02
39035,23,OH,Cuyahoga,2012,02
39049,18,OH,Franklin,2012,02
39061,16,OH,Hamilton,2012,02
39113,14,OH,Montgomery,2012,02
39153,11,OH,Summit,2012,02
40109,11,OK,Oklahoma,2012,02
40143,10,OK,Tulsa,2012,02
42003,33,PA,Allegheny,2012,02
42091,12,PA,Montgomery,2012,02
42101,41,PA,Philadelphia,2012,02
44007,14,RI,Providence,2012,02
47157,14,TN,Shelby,2012,02
48029,21,TX,Bexar,2012,02
48113,21,TX,Dallas,2012,02
48201,22,TX,Harris,2012,02
48439,15,TX,Tarrant,2012,02
49035,19,UT,Salt Lake,2012,02
53033,26,WA,King,2012,02
53061,16,WA,Snohomish,2012,02
55079,10,WI,Milwaukee,2012,02
04013,43,AZ,Maricopa,2012,03
04019,21,AZ,Pima,2012,03
06001,13,CA,Alameda,2012,03
06013,14,CA,Contra Costa,2012,03
06029,11,CA,Kern,2012,03
06037,61,CA,Los Angeles,2012,03
06059,33,CA,Orange,2012,03
06065,21,CA,Riverside,2012,03
06067,14,CA,Sacramento,2012,03
06071,14,CA,San Bernardino,2012,03
06073,31,CA,San Diego,2012,03
06075,12,CA,San Francisco,2012,03
06085,11,CA,Santa Clara,2012,03
06111,10,CA,Ventura,2012,03
09009,10,CT,New Haven,2012,03
12011,12,FL,Broward,2012,03
12031,13,FL,Duval,2012,03
12057,14,FL,Hillsborough,2012,03
12086,17,FL,Miami-Dade,2012,03
12095,11,FL,Orange,2012,03
12099,14,FL,Palm Beach,2012,03
12101,11,FL,Pasco,2012,03
12103,20,FL,Pinellas,2012,03
13121,10,GA,Fulton,2012,03
15003,17,HI,Honolulu,2012,03
17031,46,IL,Cook,2012,03
17097,11,IL,Lake,2012,03
18097,19,IN,Marion,2012,03
18163,11,IN,Vanderburgh,2012,03
24510,12,MD,Baltimo,2012,03
25009,10,MA,Essex,2012,03
25017,16,MA,Middlesex,2012,03
25027,11,MA,Worcester,2012,03
26049,10,MI,Genesee,2012,03
26099,16,MI,Macomb,2012,03
26163,35,MI,Wayne,2012,03
27053,10,MN,Hennepin,2012,03
27123,10,MN,Ramsey,2012,03
29189,15,MO,St. Louis,2012,03
32003,37,NV,Clark,2012,03
34001,11,NJ,Atlantic,2012,03
34007,15,NJ,Camden,2012,03
34023,11,NJ,Middlesex,2012,03
34029,12,NJ,Ocean,2012,03
35001,17,NM,Bernalillo,2012,03
36005,10,NY,Bronx,2012,03
36029,16,NY,Erie,2012,03
36047,14,NY,Kings,2012,03
36059,14,NY,Nassau,2012,03
36061,11,NY,New York,2012,03
36081,12,NY,Queens,2012,03
36103,26,NY,Suffolk,2012,03
39017,10,OH,Butler,2012,03
39035,26,OH,Cuyahoga,2012,03
39049,25,OH,Franklin,2012,03
39061,18,OH,Hamilton,2012,03
39113,10,OH,Montgomery,2012,03
39153,12,OH,Summit,2012,03
41051,11,OR,Multnomah,2012,03
42003,20,PA,Allegheny,2012,03
42045,13,PA,Delaware,2012,03
42091,15,PA,Montgomery,2012,03
42101,37,PA,Philadelphia,2012,03
42129,12,PA,Westmoreland,2012,03
44007,11,RI,Providence,2012,03
45045,11,SC,Greenville,2012,03
47093,11,TN,Knox,2012,03
47157,14,TN,Shelby,2012,03
48029,15,TX,Bexar,2012,03
48113,17,TX,Dallas,2012,03
48201,34,TX,Harris,2012,03
48439,15,TX,Tarrant,2012,03
48453,10,TX,Travis,2012,03
49011,10,UT,Davis,2012,03
49035,25,UT,Salt Lake,2012,03
53033,27,WA,King,2012,03
53053,13,WA,Pierce,2012,03
55079,12,WI,Milwaukee,2012,03
04013,52,AZ,Maricopa,2012,04
04019,14,AZ,Pima,2012,04
06001,12,CA,Alameda,2012,04
06029,17,CA,Kern,2012,04
06037,49,CA,Los Angeles,2012,04
06059,25,CA,Orange,2012,04
06065,27,CA,Riverside,2012,04
06067,15,CA,Sacramento,2012,04
06071,12,CA,San Bernardino,2012,04
06073,51,CA,San Diego,2012,04
06075,12,CA,San Francisco,2012,04
06085,11,CA,Santa Clara,2012,04
06111,10,CA,Ventura,2012,04
08005,10,CO,Arapahoe,2012,04
08031,11,CO,Denver,2012,04
08041,11,CO,El Paso,2012,04
09003,11,CT,Hartford,2012,04
12011,18,FL,Broward,2012,04
12031,10,FL,Duval,2012,04
12057,16,FL,Hillsborough,2012,04
12086,14,FL,Miami-Dade,2012,04
12095,10,FL,Orange,2012,04
12099,15,FL,Palm Beach,2012,04
12103,19,FL,Pinellas,2012,04
17031,54,IL,Cook,2012,04
18097,16,IN,Marion,2012,04
21111,10,KY,Jefferson,2012,04
24005,12,MD,Baltimore,2012,04
24510,12,MD,Baltimo,2012,04
25017,12,MA,Middlesex,2012,04
25027,13,MA,Worcester,2012,04
26049,13,MI,Genesee,2012,04
26099,11,MI,Macomb,2012,04
26163,13,MI,Wayne,2012,04
27053,10,MN,Hennepin,2012,04
32003,38,NV,Clark,2012,04
32031,10,NV,Washoe,2012,04
35001,12,NM,Bernalillo,2012,04
36005,13,NY,Bronx,2012,04
36047,18,NY,Kings,2012,04
36059,16,NY,Nassau,2012,04
36061,12,NY,New York,2012,04
36103,22,NY,Suffolk,2012,04
36119,11,NY,Westchester,2012,04
39035,21,OH,Cuyahoga,2012,04
39049,18,OH,Franklin,2012,04
39061,23,OH,Hamilton,2012,04
39153,17,OH,Summit,2012,04
40109,16,OK,Oklahoma,2012,04
41051,11,OR,Multnomah,2012,04
42003,23,PA,Allegheny,2012,04
42045,13,PA,Delaware,2012,04
42101,32,PA,Philadelphia,2012,04
44007,15,RI,Providence,2012,04
45045,10,SC,Greenville,2012,04
47157,13,TN,Shelby,2012,04
48029,15,TX,Bexar,2012,04
48113,19,TX,Dallas,2012,04
48201,37,TX,Harris,2012,04
