County_cd,Deaths,Population,State,County_nm
01001,-1,55027,AL,Autauga
01003,34,190403,AL,Baldwin
01005,-1,27132,AL,Barbour
01007,-1,22645,AL,Bibb
01009,17,57772,AL,Blount
01011,-1,10654,AL,Bullock
01013,-1,20665,AL,Butler
01015,-1,117208,AL,Calhoun
01017,-1,34084,AL,Chambers
01019,-1,26017,AL,Cherokee
01021,-1,43693,AL,Chilton
01023,-1,13549,AL,Choctaw
01025,-1,25148,AL,Clarke
01027,-1,13461,AL,Clay
01029,-1,14928,AL,Cleburne
01031,-1,51180,AL,Coffee
01033,-1,54493,AL,Colbert
01035,-1,13007,AL,Conecuh
01037,-1,11201,AL,Coosa
01039,-1,37842,AL,Covington
01041,-1,13920,AL,Crenshaw
01043,12,80351,AL,Cullman
01045,-1,50296,AL,Dale
01047,-1,42748,AL,Dallas
01049,16,70961,AL,DeKalb
01051,-1,80291,AL,Elmore
01053,-1,38063,AL,Escambia
01055,-1,104215,AL,Etowah
01057,-1,16966,AL,Fayette
01059,-1,31652,AL,Franklin
01061,-1,27012,AL,Geneva
01063,-1,8837,AL,Greene
01065,-1,15393,AL,Hale
01067,-1,17237,AL,Henry
01069,10,103382,AL,Houston
01071,13,53087,AL,Jackson
01073,72,657639,AL,Jefferson
01075,-1,14257,AL,Lamar
01077,-1,92694,AL,Lauderdale
01079,-1,33788,AL,Lawrence
01081,10,148289,AL,Lee
01083,-1,87368,AL,Limestone
01085,-1,10835,AL,Lowndes
01087,-1,20632,AL,Macon
01089,28,342773,AL,Madison
01091,-1,20451,AL,Marengo
01093,-1,30520,AL,Marion
01095,14,94182,AL,Marshall
01097,59,413760,AL,Mobile
01099,-1,22593,AL,Monroe
01101,17,228708,AL,Montgomery
01103,20,120123,AL,Morgan
01105,-1,10184,AL,Perry
01107,-1,19359,AL,Pickens
01109,-1,33113,AL,Pike
01111,-1,22623,AL,Randolph
01113,-1,57626,AL,Russell
01115,10,85168,AL,St. Clair
01117,38,200789,AL,Shelby
01119,-1,13448,AL,Sumter
01121,10,81941,AL,Talladega
