County_cd,Deaths,Population,State,County_nm
01001,-1,51328,AL,Autauga
01003,21,168121,AL,Baldwin
01005,-1,27861,AL,Barbour
01007,-1,22099,AL,Bibb
01009,-1,55485,AL,Blount
01011,-1,10776,AL,Bullock
01013,-1,20815,AL,Butler
01015,-1,115388,AL,Calhoun
01017,-1,34945,AL,Chambers
01019,-1,25466,AL,Cherokee
01021,13,42318,AL,Chilton
01023,-1,14431,AL,Choctaw
01025,-1,26755,AL,Clarke
01027,-1,14053,AL,Clay
01029,-1,14538,AL,Cleburne
01031,-1,46228,AL,Coffee
01033,-1,54413,AL,Colbert
01035,-1,13603,AL,Conecuh
01037,-1,11451,AL,Coosa
01039,-1,37441,AL,Covington
01041,-1,13880,AL,Crenshaw
01043,-1,79044,AL,Cullman
01045,-1,49077,AL,Dale
01047,-1,44323,AL,Dallas
01049,-1,68495,AL,DeKalb
01051,-1,75246,AL,Elmore
01053,-1,37673,AL,Escambia
01055,10,103528,AL,Etowah
01057,-1,17767,AL,Fayette
01059,-1,31134,AL,Franklin
01061,-1,26271,AL,Geneva
01063,-1,9361,AL,Greene
01065,-1,16427,AL,Hale
01067,-1,16953,AL,Henry
01069,-1,95846,AL,Houston
01071,-1,53483,AL,Jackson
01073,65,655893,AL,Jefferson
01075,-1,14816,AL,Lamar
01077,-1,90294,AL,Lauderdale
01079,-1,34028,AL,Lawrence
01081,-1,129247,AL,Lee
01083,-1,73651,AL,Limestone
01085,-1,12124,AL,Lowndes
01087,-1,22227,AL,Macon
01089,-1,309170,AL,Madison
01091,-1,21531,AL,Marengo
01093,-1,30779,AL,Marion
01095,-1,88209,AL,Marshall
01097,40,402916,AL,Mobile
01099,-1,23602,AL,Monroe
01101,12,227291,AL,Montgomery
01103,17,115491,AL,Morgan
01105,-1,10677,AL,Perry
01107,-1,20128,AL,Pickens
01109,-1,31309,AL,Pike
01111,-1,22695,AL,Randolph
01113,-1,50459,AL,Russell
01115,10,75948,AL,St. Clair
01117,18,178841,AL,Shelby
01119,-1,14059,AL,Sumter
01121,10,81991,AL,Talladega
01123,-1,41243,AL,Tallapoosa
01125,24,181383,AL,Tuscaloosa
01127,12,68234,AL,Walker
01129,-1,17705,AL,Washington
01131,-1,12221,AL,Wilcox
01133,-1,24796,AL,Winston
02013,-1,2794,AK,Aleutians East 
02016,-1,5658,AK,Aleutians West Cens
02020,29,280085,AK,Anchorage 
02050,-1,16755,AK,Bethel Cens
02060,-1,1111,AK,Bristol Bay 
02068,-1,1837,AK,Denali 
02070,-1,4833,AK,Dillingham Cens
02090,-1,90545,AK,Fairbanks North Star 
02100,-1,2300,AK,Haines 
02105,Missing,Missing,AK,Hoonah-Angoon Cens
02110,-1,30808,AK,Juneau 
02122,-1,52253,AK,Kenai Peninsula 
02130,-1,13492,AK,Ketchikan Gateway 
02150,-1,13184,AK,Kodiak Island 
02164,-1,1624,AK,Lake and Peninsula 
02170,13,78633,AK,Matanuska-Susitna 
02180,-1,9235,AK,Nome Cens
02185,-1,8315,AK,North Slope 
02188,-1,7467,AK,Northwest Arctic 
02195,Missing,Missing,AK,Petersburg Borough/Cens
02198,Missing,Missing,AK,Prince of Wales-Hyder Cens
02201,-1,5574,AK,Prince of Wales-Outer Ketchikan Cens
02220,-1,9046,AK,Sitka 
02230,Missing,Missing,AK,Skagway Munic
02232,-1,3217,AK,Skagway-Hoonah-Angoon Cens
02240,-1,6817,AK,Southeast Fairbanks Cens
02261,-1,9828,AK,Valdez-Cordova Cens
02270,-1,7292,AK,Wade Hampton Cens
02275,Missing,Missing,AK,Wrangell City and 
02280,-1,6195,AK,Wrangell-Petersburg Cens
02282,-1,642,AK,Yakutat 
02290,-1,5762,AK,Yukon-Koyukuk Cens
04001,-1,69390,AZ,Apache
04003,19,127241,AZ,Cochise
04005,-1,128695,AZ,Coconino
04007,10,52541,AZ,Gila
04009,-1,33701,AZ,Graham
04011,-1,7838,AZ,Greenlee
04012,-1,20573,AZ,La Paz
04013,541,3642884,AZ,Maricopa
04015,22,196168,AZ,Mohave
04017,14,105624,AZ,Navajo
04019,190,940930,AZ,Pima
04021,26,271328,AZ,Pinal
04023,-1,44298,AZ,Santa Cruz
04025,23,204082,AZ,Yavapai
04027,13,183848,AZ,Yuma
05001,-1,19785,AR,Arkansas
05003,-1,22501,AR,Ashley
05005,-1,40867,AR,Baxter
05007,19,195569,AR,Benton
05009,-1,36056,AR,Boone
05011,-1,11778,AR,Bradley
05013,-1,5693,AR,Calhoun
05015,-1,26615,AR,Carroll
05017,-1,12516,AR,Chicot
05019,-1,22924,AR,Clark
05021,-1,16679,AR,Clay
05023,-1,25430,AR,Cleburne
05025,-1,8829,AR,Cleveland
05027,-1,25133,AR,Columbia
05029,-1,20753,AR,Conway
05031,13,89725,AR,Craighead
05033,-1,59126,AR,Crawford
05035,-1,50360,AR,Crittenden
05037,-1,18525,AR,Cross
05039,-1,8477,AR,Dallas
05041,-1,13870,AR,Desha
05043,-1,18705,AR,Drew
05045,11,102969,AR,Faulkner
05047,-1,18151,AR,Franklin
05049,-1,12119,AR,Fulton
05051,16,94077,AR,Garland
05053,-1,17442,AR,Grant
05055,-1,40469,AR,Greene
05057,-1,22957,AR,Hempstead
05059,-1,32248,AR,Hot Spring
05061,-1,13843,AR,Howard
05063,-1,35426,AR,Independence
05065,-1,13583,AR,Izard
05067,-1,18092,AR,Jackson
05069,-1,79977,AR,Jefferson
05071,-1,24596,AR,Johnson
05073,-1,7879,AR,Lafayette
05075,-1,17193,AR,Lawrence
05077,-1,11067,AR,Lee
05079,-1,14315,AR,Lincoln
05081,-1,13147,AR,Little River
05083,-1,22689,AR,Logan
05085,-1,62648,AR,Lonoke
05087,-1,15156,AR,Madison
05089,-1,16759,AR,Marion
05091,-1,42669,AR,Miller
05093,-1,46983,AR,Mississippi
05095,-1,8949,AR,Monroe
05097,-1,9437,AR,Montgomery
05099,-1,9383,AR,Nevada
05101,-1,8474,AR,Newton
05103,-1,26656,AR,Ouachita
05105,-1,10352,AR,Perry
05107,-1,23244,AR,Phillips
05109,-1,11262,AR,Pike
05111,-1,24904,AR,Poinsett
05113,-1,20422,AR,Polk
05115,-1,58809,AR,Pope
05117,-1,8989,AR,Prairie
05119,38,371647,AR,Pulaski
05121,-1,18185,AR,Randolph
05123,-1,28496,AR,St. Francis
05125,17,96661,AR,Saline
05127,-1,11239,AR,Scott
05129,-1,8210,AR,Searcy
05131,20,121492,AR,Sebastian
05133,-1,16273,AR,Sevier
05135,-1,17629,AR,Sharp
05137,-1,12262,AR,Stone
05139,-1,42914,AR,Union
05141,-1,17027,AR,Van Buren
05143,21,190314,AR,Washington
05145,-1,72728,AR,White
05147,-1,7877,AR,Woodruff
05149,-1,21556,AR,Yell
06001,169,1444484,CA,Alameda
06003,-1,1276,CA,Alpine
06005,10,38353,CA,Amador
06007,69,216824,CA,Butte
06009,-1,46045,CA,Calaveras
06011,-1,20890,CA,Colusa
06013,74,1000834,CA,Contra Costa
06015,-1,28211,CA,Del Norte
06017,35,176773,CA,El Dorado
06019,99,883862,CA,Fresno
06021,-1,27652,CA,Glenn
06023,42,132093,CA,Humboldt
06025,19,160505,CA,Imperial
06027,-1,18370,CA,Inyo
06029,118,784511,CA,Kern
06031,-1,147712,CA,Kings
06033,18,64202,CA,Lake
06035,13,34605,CA,Lassen
06037,689,9737955,CA,Los Angeles
06039,12,143622,CA,Madera
06041,31,244580,CA,Marin
06043,-1,18219,CA,Mariposa
06045,19,87345,CA,Mendocino
06047,11,245338,CA,Merced
06049,-1,9617,CA,Modoc
06051,-1,13743,CA,Mono
06053,41,401831,CA,Monterey
06055,-1,131440,CA,Napa
06057,13,97549,CA,Nevada
06059,247,2932261,CA,Orange
06061,44,321934,CA,Placer
06063,-1,20762,CA,Plumas
06065,176,2012370,CA,Riverside
06067,226,1369563,CA,Sacramento
06069,-1,54124,CA,San Benito
06071,97,1974140,CA,San Bernardino
06073,305,2947289,CA,San Diego
06075,153,768650,CA,San Francisco
06077,80,662812,CA,San Joaquin
06079,32,260498,CA,San Luis Obispo
06081,48,690176,CA,San Mateo
06083,36,408085,CA,Santa Barbara
06085,97,1691159,CA,Santa Clara
06087,32,251616,CA,Santa Cruz
06089,39,176166,CA,Shasta
06091,-1,3424,CA,Sierra
06093,-1,44487,CA,Siskiyou
06095,36,408402,CA,Solano
06097,44,465188,CA,Sonoma
06099,89,504651,CA,Stanislaus
06101,-1,91112,CA,Sutter
06103,10,61587,CA,Tehama
06105,-1,13634,CA,Trinity
06107,49,414921,CA,Tulare
06109,14,56680,CA,Tuolumne
06111,97,798183,CA,Ventura
06113,-1,189615,CA,Yolo
06115,-1,69272,CA,Yuba
08001,68,406575,CO,Adams
08003,-1,15196,CO,Alamosa
08005,73,531619,CO,Arapahoe
08007,-1,11937,CO,Archuleta
08009,-1,3933,CO,Baca
08011,-1,6012,CO,Bent
08013,42,284243,CO,Boulder
08014,-1,48729,CO,Broomfield
08015,-1,17087,CO,Chaffee
08017,-1,1912,CO,Cheyenne
08019,-1,9042,CO,Clear Creek
08021,-1,8256,CO,Conejos
08023,-1,3571,CO,Costilla
08025,-1,5886,CO,Crowley
08027,-1,3994,CO,Custer
08029,-1,29789,CO,Delta
08031,145,556895,CO,Denver
08033,-1,1973,CO,Dolores
08035,25,256136,CO,Douglas
08037,-1,48476,CO,Eagle
08039,-1,22423,CO,Elbert
08041,68,580251,CO,El Paso
08043,10,46873,CO,Fremont
08045,-1,51594,CO,Garfield
08047,-1,4883,CO,Gilpin
08049,-1,14003,CO,Grand
08051,-1,14720,CO,Gunnison
08053,-1,815,CO,Hinsdale
08055,-1,7127,CO,Huerfano
08057,-1,1415,CO,Jackson
08059,38,521662,CO,Jefferson
08061,-1,1456,CO,Kiowa
08063,-1,8011,CO,Kit Carson
08065,-1,7278,CO,Lake
08067,-1,48574,CO,La Plata
08069,37,280713,CO,Larimer
08071,-1,15673,CO,Las Animas
08073,-1,5530,CO,Lincoln
08075,-1,21911,CO,Logan
08077,-1,134665,CO,Mesa
08079,-1,789,CO,Mineral
08081,-1,13115,CO,Moffat
08083,-1,24968,CO,Montezuma
08085,-1,38282,CO,Montrose
08087,-1,27816,CO,Morgan
08089,-1,19042,CO,Otero
08091,-1,4090,CO,Ouray
08093,-1,16230,CO,Park
08095,-1,4414,CO,Phillips
08097,-1,15504,CO,Pitkin
08099,-1,13130,CO,Prowers
08101,26,152026,CO,Pueblo
08103,-1,6176,CO,Rio Blanco
08105,-1,12033,CO,Rio Grande
08107,-1,21859,CO,Routt
08109,-1,6223,CO,Saguache
08111,-1,649,CO,San Juan
08113,-1,7071,CO,San Miguel
08115,-1,2474,CO,Sedgwick
08117,-1,26019,CO,Summit
08119,-1,22281,CO,Teller
08121,-1,4907,CO,Washington
08123,15,230703,CO,Weld
08125,-1,9784,CO,Yuma
09001,100,896254,CT,Fairfield
09003,109,881298,CT,Hartford
09005,19,189682,CT,Litchfield
09007,14,163473,CT,Middlesex
09009,115,850207,CT,New Haven
09011,29,270814,CT,New London
09013,-1,148954,CT,Tolland
09015,12,116778,CT,Windham
10001,13,149704,DE,Kent
10003,50,527174,DE,New Castle
10005,15,182390,DE,Sussex
11001,101,570681,DC,District of C
12001,13,239506,FL,Alachua
12003,-1,25571,FL,Baker
12005,23,165644,FL,Bay
12007,-1,28506,FL,Bradford
12009,107,535138,FL,Brevard
12011,258,1739348,FL,Broward
12013,-1,13997,FL,Calhoun
12015,-1,157099,FL,Charlotte
12017,31,137826,FL,Citrus
12019,17,178339,FL,Clay
12021,52,312621,FL,Collier
12023,12,65890,FL,Columbia
12027,-1,34300,FL,DeSoto
12029,-1,15892,FL,Dixie
12031,150,842098,FL,Duval
12033,53,300395,FL,Escambia
12035,-1,84339,FL,Flagler
12037,-1,11308,FL,Franklin
12039,-1,45258,FL,Gadsden
12041,-1,16223,FL,Gilchrist
12043,-1,12297,FL,Glades
12045,-1,15856,FL,Gulf
12047,-1,14430,FL,Hamilton
12049,-1,27049,FL,Hardee
12051,-1,38776,FL,Hendry
12053,29,164398,FL,Hernando
