County_cd,Deaths,State,County_nm,Year,Month
04013,42,AZ,Maricopa,2010,01
04019,16,AZ,Pima,2010,01
06001,11,CA,Alameda,2010,01
06029,13,CA,Kern,2010,01
06037,65,CA,Los Angeles,2010,01
06059,35,CA,Orange,2010,01
06065,14,CA,Riverside,2010,01
06067,15,CA,Sacramento,2010,01
06071,14,CA,San Bernardino,2010,01
06073,28,CA,San Diego,2010,01
06075,16,CA,San Francisco,2010,01
08005,11,CO,Arapahoe,2010,01
08031,15,CO,Denver,2010,01
12009,12,FL,Brevard,2010,01
12011,36,FL,Broward,2010,01
12057,27,FL,Hillsborough,2010,01
12071,11,FL,Lee,2010,01
12095,14,FL,Orange,2010,01
12099,13,FL,Palm Beach,2010,01
12101,17,FL,Pasco,2010,01
12103,27,FL,Pinellas,2010,01
12105,12,FL,Polk,2010,01
12115,10,FL,Sarasota,2010,01
12127,11,FL,Volusia,2010,01
13121,11,GA,Fulton,2010,01
15003,12,HI,Honolulu,2010,01
17031,40,IL,Cook,2010,01
18097,11,IN,Marion,2010,01
21111,11,KY,Jefferson,2010,01
24005,11,MD,Baltimore,2010,01
24510,12,MD,Baltimo,2010,01
25017,11,MA,Middlesex,2010,01
25027,11,MA,Worcester,2010,01
26049,10,MI,Genesee,2010,01
26163,18,MI,Wayne,2010,01
27053,13,MN,Hennepin,2010,01
29189,12,MO,St. Louis,2010,01
32003,26,NV,Clark,2010,01
34039,10,NJ,Union,2010,01
35001,16,NM,Bernalillo,2010,01
36005,11,NY,Bronx,2010,01
36029,10,NY,Erie,2010,01
36047,23,NY,Kings,2010,01
36061,10,NY,New York,2010,01
36081,13,NY,Queens,2010,01
36103,11,NY,Suffolk,2010,01
37183,10,NC,Wake,2010,01
39035,15,OH,Cuyahoga,2010,01
39049,16,OH,Franklin,2010,01
39061,14,OH,Hamilton,2010,01
40109,12,OK,Oklahoma,2010,01
40143,14,OK,Tulsa,2010,01
41051,12,OR,Multnomah,2010,01
42003,16,PA,Allegheny,2010,01
42091,11,PA,Montgomery,2010,01
42101,26,PA,Philadelphia,2010,01
44007,10,RI,Providence,2010,01
47155,10,TN,Sevier,2010,01
47157,12,TN,Shelby,2010,01
48029,15,TX,Bexar,2010,01
48113,15,TX,Dallas,2010,01
48201,32,TX,Harris,2010,01
49035,15,UT,Salt Lake,2010,01
53033,14,WA,King,2010,01
53061,13,WA,Snohomish,2010,01
55025,12,WI,Dane,2010,01
55079,14,WI,Milwaukee,2010,01
04013,31,AZ,Maricopa,2010,02
04019,14,AZ,Pima,2010,02
06007,10,CA,Butte,2010,02
06019,14,CA,Fresno,2010,02
06029,15,CA,Kern,2010,02
06037,45,CA,Los Angeles,2010,02
06059,24,CA,Orange,2010,02
06065,33,CA,Riverside,2010,02
06067,24,CA,Sacramento,2010,02
06073,24,CA,San Diego,2010,02
06075,14,CA,San Francisco,2010,02
06085,18,CA,Santa Clara,2010,02
06099,10,CA,Stanislaus,2010,02
06111,13,CA,Ventura,2010,02
09009,15,CT,New Haven,2010,02
11001,10,DC,District of C,2010,02
12011,21,FL,Broward,2010,02
12057,16,FL,Hillsborough,2010,02
12071,12,FL,Lee,2010,02
12095,16,FL,Orange,2010,02
12099,17,FL,Palm Beach,2010,02
12101,14,FL,Pasco,2010,02
12103,20,FL,Pinellas,2010,02
12105,10,FL,Polk,2010,02
13121,10,GA,Fulton,2010,02
17031,26,IL,Cook,2010,02
17201,12,IL,Winnebago,2010,02
18097,11,IN,Marion,2010,02
24005,14,MD,Baltimore,2010,02
24510,15,MD,Baltimo,2010,02
25017,12,MA,Middlesex,2010,02
25027,15,MA,Worcester,2010,02
26099,16,MI,Macomb,2010,02
26163,24,MI,Wayne,2010,02
27053,11,MN,Hennepin,2010,02
29189,13,MO,St. Louis,2010,02
32003,36,NV,Clark,2010,02
35001,15,NM,Bernalillo,2010,02
36047,14,NY,Kings,2010,02
36061,10,NY,New York,2010,02
36103,17,NY,Suffolk,2010,02
39049,24,OH,Franklin,2010,02
39113,15,OH,Montgomery,2010,02
40109,12,OK,Oklahoma,2010,02
40143,14,OK,Tulsa,2010,02
41051,12,OR,Multnomah,2010,02
42003,16,PA,Allegheny,2010,02
42045,10,PA,Delaware,2010,02
42101,28,PA,Philadelphia,2010,02
47093,19,TN,Knox,2010,02
47157,11,TN,Shelby,2010,02
48029,13,TX,Bexar,2010,02
48113,14,TX,Dallas,2010,02
48201,42,TX,Harris,2010,02
48439,12,TX,Tarrant,2010,02
49035,11,UT,Salt Lake,2010,02
53033,16,WA,King,2010,02
53063,10,WA,Spokane,2010,02
55079,22,WI,Milwaukee,2010,02
04013,45,AZ,Maricopa,2010,03
04019,18,AZ,Pima,2010,03
06001,16,CA,Alameda,2010,03
06029,12,CA,Kern,2010,03
06037,66,CA,Los Angeles,2010,03
06059,13,CA,Orange,2010,03
06065,23,CA,Riverside,2010,03
06067,16,CA,Sacramento,2010,03
06071,12,CA,San Bernardino,2010,03
06073,38,CA,San Diego,2010,03
06075,14,CA,San Francisco,2010,03
06085,16,CA,Santa Clara,2010,03
06097,10,CA,Sonoma,2010,03
09009,11,CT,New Haven,2010,03
12009,11,FL,Brevard,2010,03
12011,19,FL,Broward,2010,03
12031,19,FL,Duval,2010,03
12057,25,FL,Hillsborough,2010,03
12071,11,FL,Lee,2010,03
12095,21,FL,Orange,2010,03
12099,32,FL,Palm Beach,2010,03
12101,19,FL,Pasco,2010,03
12103,32,FL,Pinellas,2010,03
12115,13,FL,Sarasota,2010,03
17031,46,IL,Cook,2010,03
17119,10,IL,Madison,2010,03
24005,10,MD,Baltimore,2010,03
24510,11,MD,Baltimo,2010,03
25017,13,MA,Middlesex,2010,03
25021,10,MA,Norfolk,2010,03
25025,10,MA,Suffolk,2010,03
26099,18,MI,Macomb,2010,03
26163,20,MI,Wayne,2010,03
29095,10,MO,Jackson,2010,03
29189,13,MO,St. Louis,2010,03
32003,35,NV,Clark,2010,03
34007,10,NJ,Camden,2010,03
34013,10,NJ,Essex,2010,03
35001,14,NM,Bernalillo,2010,03
36005,10,NY,Bronx,2010,03
36029,10,NY,Erie,2010,03
36061,13,NY,New York,2010,03
36103,19,NY,Suffolk,2010,03
39017,10,OH,Butler,2010,03
39035,17,OH,Cuyahoga,2010,03
39049,17,OH,Franklin,2010,03
39061,13,OH,Hamilton,2010,03
39113,13,OH,Montgomery,2010,03
39153,10,OH,Summit,2010,03
40109,19,OK,Oklahoma,2010,03
40143,12,OK,Tulsa,2010,03
41051,13,OR,Multnomah,2010,03
42003,24,PA,Allegheny,2010,03
42045,15,PA,Delaware,2010,03
42091,11,PA,Montgomery,2010,03
42101,25,PA,Philadelphia,2010,03
47093,10,TN,Knox,2010,03
47157,11,TN,Shelby,2010,03
48029,20,TX,Bexar,2010,03
48113,19,TX,Dallas,2010,03
48201,31,TX,Harris,2010,03
48453,10,TX,Travis,2010,03
49035,16,UT,Salt Lake,2010,03
53033,24,WA,King,2010,03
55079,13,WI,Milwaukee,2010,03
04013,55,AZ,Maricopa,2010,04
04019,18,AZ,Pima,2010,04
06001,12,CA,Alameda,2010,04
06013,10,CA,Contra Costa,2010,04
06019,10,CA,Fresno,2010,04
06029,15,CA,Kern,2010,04
06037,53,CA,Los Angeles,2010,04
06059,18,CA,Orange,2010,04
06065,20,CA,Riverside,2010,04
06067,21,CA,Sacramento,2010,04
06071,11,CA,San Bernardino,2010,04
06073,28,CA,San Diego,2010,04
06075,19,CA,San Francisco,2010,04
06077,11,CA,San Joaquin,2010,04
06085,12,CA,Santa Clara,2010,04
06089,11,CA,Shasta,2010,04
06099,10,CA,Stanislaus,2010,04
06111,11,CA,Ventura,2010,04
08005,11,CO,Arapahoe,2010,04
08031,11,CO,Denver,2010,04
09009,11,CT,New Haven,2010,04
12009,13,FL,Brevard,2010,04
12011,16,FL,Broward,2010,04
12057,19,FL,Hillsborough,2010,04
12081,10,FL,Manatee,2010,04
12099,19,FL,Palm Beach,2010,04
12101,14,FL,Pasco,2010,04
12103,22,FL,Pinellas,2010,04
13121,13,GA,Fulton,2010,04
17031,32,IL,Cook,2010,04
18097,20,IN,Marion,2010,04
24005,14,MD,Baltimore,2010,04
24510,10,MD,Baltimo,2010,04
25005,10,MA,Bristol,2010,04
25013,12,MA,Hampden,2010,04
25017,11,MA,Middlesex,2010,04
26049,12,MI,Genesee,2010,04
26099,22,MI,Macomb,2010,04
26163,24,MI,Wayne,2010,04
29189,13,MO,St. Louis,2010,04
32003,30,NV,Clark,2010,04
34013,11,NJ,Essex,2010,04
34029,10,NJ,Ocean,2010,04
35001,19,NM,Bernalillo,2010,04
36005,16,NY,Bronx,2010,04
36047,12,NY,Kings,2010,04
36081,12,NY,Queens,2010,04
39035,15,OH,Cuyahoga,2010,04
39049,21,OH,Franklin,2010,04
40109,14,OK,Oklahoma,2010,04
40143,10,OK,Tulsa,2010,04
42003,21,PA,Allegheny,2010,04
42045,17,PA,Delaware,2010,04
42101,22,PA,Philadelphia,2010,04
47037,11,TN,Davidson,2010,04
47093,12,TN,Knox,2010,04
47157,11,TN,Shelby,2010,04
48029,21,TX,Bexar,2010,04
48113,18,TX,Dallas,2010,04
48201,37,TX,Harris,2010,04
48439,12,TX,Tarrant,2010,04
49035,17,UT,Salt Lake,2010,04
53033,18,WA,King,2010,04
53061,10,WA,Snohomish,2010,04
55079,12,WI,Milwaukee,2010,04
04013,47,AZ,Maricopa,2010,05
04019,23,AZ,Pima,2010,05
06013,10,CA,Contra Costa,2010,05
06019,10,CA,Fresno,2010,05
06029,11,CA,Kern,2010,05
06037,56,CA,Los Angeles,2010,05
06059,22,CA,Orange,2010,05
06065,18,CA,Riverside,2010,05
06067,22,CA,Sacramento,2010,05
06071,18,CA,San Bernardino,2010,05
06073,28,CA,San Diego,2010,05
06075,16,CA,San Francisco,2010,05
06085,15,CA,Santa Clara,2010,05
06097,10,CA,Sonoma,2010,05
06111,11,CA,Ventura,2010,05
08031,13,CO,Denver,2010,05
09009,12,CT,New Haven,2010,05
12009,12,FL,Brevard,2010,05
12011,26,FL,Broward,2010,05
12031,14,FL,Duval,2010,05
12057,22,FL,Hillsborough,2010,05
12071,10,FL,Lee,2010,05
12086,11,FL,Miami-Dade,2010,05
12099,20,FL,Palm Beach,2010,05
12103,29,FL,Pinellas,2010,05
12127,11,FL,Volusia,2010,05
17031,40,IL,Cook,2010,05
17043,11,IL,DuPage,2010,05
17097,11,IL,Lake,2010,05
18097,13,IN,Marion,2010,05
25005,11,MA,Bristol,2010,05
25021,11,MA,Norfolk,2010,05
26049,10,MI,Genesee,2010,05
26099,12,MI,Macomb,2010,05
26125,11,MI,Oakland,2010,05
26163,23,MI,Wayne,2010,05
29189,14,MO,St. Louis,2010,05
32003,36,NV,Clark,2010,05
32031,10,NV,Washoe,2010,05
35001,15,NM,Bernalillo,2010,05
36047,26,NY,Kings,2010,05
36081,12,NY,Queens,2010,05
36103,19,NY,Suffolk,2010,05
39035,19,OH,Cuyahoga,2010,05
39049,23,OH,Franklin,2010,05
40109,10,OK,Oklahoma,2010,05
40143,12,OK,Tulsa,2010,05
41051,11,OR,Multnomah,2010,05
42003,28,PA,Allegheny,2010,05
42011,11,PA,Berks,2010,05
42045,14,PA,Delaware,2010,05
42091,15,PA,Montgomery,2010,05
42101,31,PA,Philadelphia,2010,05
48029,16,TX,Bexar,2010,05
48113,16,TX,Dallas,2010,05
48201,35,TX,Harris,2010,05
48439,16,TX,Tarrant,2010,05
48453,11,TX,Travis,2010,05
53033,23,WA,King,2010,05
53053,11,WA,Pierce,2010,05
53061,11,WA,Snohomish,2010,05
55079,15,WI,Milwaukee,2010,05
04013,53,AZ,Maricopa,2010,06
04019,19,AZ,Pima,2010,06
06001,17,CA,Alameda,2010,06
06007,13,CA,Butte,2010,06
06013,11,CA,Contra Costa,2010,06
06037,54,CA,Los Angeles,2010,06
06059,26,CA,Orange,2010,06
06065,19,CA,Riverside,2010,06
06067,23,CA,Sacramento,2010,06
06071,11,CA,San Bernardino,2010,06
06073,26,CA,San Diego,2010,06
06075,14,CA,San Francisco,2010,06
06077,13,CA,San Joaquin,2010,06
08041,10,CO,El Paso,2010,06
09003,10,CT,Hartford,2010,06
09009,11,CT,New Haven,2010,06
10003,11,DE,New Castle,2010,06
12009,12,FL,Brevard,2010,06
12011,21,FL,Broward,2010,06
12031,17,FL,Duval,2010,06
12057,13,FL,Hillsborough,2010,06
12071,18,FL,Lee,2010,06
12099,18,FL,Palm Beach,2010,06
12101,12,FL,Pasco,2010,06
12103,25,FL,Pinellas,2010,06
12105,11,FL,Polk,2010,06
12127,10,FL,Volusia,2010,06
13121,10,GA,Fulton,2010,06
17031,46,IL,Cook,2010,06
18097,14,IN,Marion,2010,06
21111,15,KY,Jefferson,2010,06
24005,16,MD,Baltimore,2010,06
26099,16,MI,Macomb,2010,06
26163,23,MI,Wayne,2010,06
29077,12,MO,Greene,2010,06
29095,10,MO,Jackson,2010,06
29189,13,MO,St. Louis,2010,06
32003,29,NV,Clark,2010,06
35001,19,NM,Bernalillo,2010,06
36059,12,NY,Nassau,2010,06
36081,11,NY,Queens,2010,06
36085,10,NY,Richmond,2010,06
36103,18,NY,Suffolk,2010,06
39035,14,OH,Cuyahoga,2010,06
39049,19,OH,Franklin,2010,06
39061,10,OH,Hamilton,2010,06
40109,12,OK,Oklahoma,2010,06
40143,13,OK,Tulsa,2010,06
42003,18,PA,Allegheny,2010,06
42045,10,PA,Delaware,2010,06
42101,27,PA,Philadelphia,2010,06
44007,13,RI,Providence,2010,06
47157,15,TN,Shelby,2010,06
48029,11,TX,Bexar,2010,06
48113,17,TX,Dallas,2010,06
48201,34,TX,Harris,2010,06
48439,15,TX,Tarrant,2010,06
49035,10,UT,Salt Lake,2010,06
53033,17,WA,King,2010,06
53053,12,WA,Pierce,2010,06
55079,12,WI,Milwaukee,2010,06
04013,71,AZ,Maricopa,2010,07
04015,11,AZ,Mohave,2010,07
04019,13,AZ,Pima,2010,07
06001,14,CA,Alameda,2010,07
06023,10,CA,Humboldt,2010,07
06029,14,CA,Kern,2010,07
06037,71,CA,Los Angeles,2010,07
06059,27,CA,Orange,2010,07
06065,24,CA,Riverside,2010,07
06067,16,CA,Sacramento,2010,07
06073,27,CA,San Diego,2010,07
06075,11,CA,San Francisco,2010,07
06077,10,CA,San Joaquin,2010,07
06099,12,CA,Stanislaus,2010,07
12009,14,FL,Brevard,2010,07
12011,26,FL,Broward,2010,07
12031,11,FL,Duval,2010,07
12057,23,FL,Hillsborough,2010,07
12086,10,FL,Miami-Dade,2010,07
12095,15,FL,Orange,2010,07
12099,23,FL,Palm Beach,2010,07
12101,16,FL,Pasco,2010,07
12103,19,FL,Pinellas,2010,07
12105,10,FL,Polk,2010,07
17031,48,IL,Cook,2010,07
18097,12,IN,Marion,2010,07
24510,12,MD,Baltimo,2010,07
25017,10,MA,Middlesex,2010,07
26099,28,MI,Macomb,2010,07
26125,12,MI,Oakland,2010,07
26163,25,MI,Wayne,2010,07
29095,10,MO,Jackson,2010,07
29189,12,MO,St. Louis,2010,07
29510,10,MO,St. Lou,2010,07
32003,37,NV,Clark,2010,07
32031,16,NV,Washoe,2010,07
34007,12,NJ,Camden,2010,07
35001,23,NM,Bernalillo,2010,07
36047,20,NY,Kings,2010,07
36059,10,NY,Nassau,2010,07
36103,16,NY,Suffolk,2010,07
39017,11,OH,Butler,2010,07
39035,20,OH,Cuyahoga,2010,07
39049,21,OH,Franklin,2010,07
39061,15,OH,Hamilton,2010,07
39113,11,OH,Montgomery,2010,07
40109,14,OK,Oklahoma,2010,07
40143,12,OK,Tulsa,2010,07
41051,11,OR,Multnomah,2010,07
42003,16,PA,Allegheny,2010,07
42091,10,PA,Montgomery,2010,07
42101,24,PA,Philadelphia,2010,07
47157,12,TN,Shelby,2010,07
48029,18,TX,Bexar,2010,07
48113,19,TX,Dallas,2010,07
48201,51,TX,Harris,2010,07
48439,11,TX,Tarrant,2010,07
49035,15,UT,Salt Lake,2010,07
49049,10,UT,Utah,2010,07
53033,24,WA,King,2010,07
55079,12,WI,Milwaukee,2010,07
04013,68,AZ,Maricopa,2010,08
04019,17,AZ,Pima,2010,08
06001,10,CA,Alameda,2010,08
06029,12,CA,Kern,2010,08
06037,63,CA,Los Angeles,2010,08
06059,30,CA,Orange,2010,08
06065,38,CA,Riverside,2010,08
06067,17,CA,Sacramento,2010,08
06071,13,CA,San Bernardino,2010,08
06073,37,CA,San Diego,2010,08
06075,19,CA,San Francisco,2010,08
06077,15,CA,San Joaquin,2010,08
08031,15,CO,Denver,2010,08
08041,13,CO,El Paso,2010,08
12011,17,FL,Broward,2010,08
12031,10,FL,Duval,2010,08
12057,17,FL,Hillsborough,2010,08
12095,12,FL,Orange,2010,08
12099,21,FL,Palm Beach,2010,08
12101,18,FL,Pasco,2010,08
12103,29,FL,Pinellas,2010,08
12111,10,FL,St. Lucie,2010,08
12127,13,FL,Volusia,2010,08
17031,45,IL,Cook,2010,08
18097,13,IN,Marion,2010,08
21111,11,KY,Jefferson,2010,08
25005,12,MA,Bristol,2010,08
25017,11,MA,Middlesex,2010,08
25027,10,MA,Worcester,2010,08
26049,14,MI,Genesee,2010,08
26099,15,MI,Macomb,2010,08
26163,16,MI,Wayne,2010,08
29095,11,MO,Jackson,2010,08
29189,18,MO,St. Louis,2010,08
32003,26,NV,Clark,2010,08
34007,12,NJ,Camden,2010,08
35001,10,NM,Bernalillo,2010,08
36047,14,NY,Kings,2010,08
36059,11,NY,Nassau,2010,08
36081,11,NY,Queens,2010,08
36103,16,NY,Suffolk,2010,08
39035,17,OH,Cuyahoga,2010,08
39049,14,OH,Franklin,2010,08
39113,11,OH,Montgomery,2010,08
41051,16,OR,Multnomah,2010,08
42003,15,PA,Allegheny,2010,08
42017,11,PA,Bucks,2010,08
42101,29,PA,Philadelphia,2010,08
47157,15,TN,Shelby,2010,08
48029,14,TX,Bexar,2010,08
48113,19,TX,Dallas,2010,08
48201,38,TX,Harris,2010,08
48453,13,TX,Travis,2010,08
49035,12,UT,Salt Lake,2010,08
53033,20,WA,King,2010,08
53053,15,WA,Pierce,2010,08
53061,12,WA,Snohomish,2010,08
55079,11,WI,Milwaukee,2010,08
04013,51,AZ,Maricopa,2010,09
04019,22,AZ,Pima,2010,09
06013,11,CA,Contra Costa,2010,09
06029,12,CA,Kern,2010,09
06037,53,CA,Los Angeles,2010,09
06059,20,CA,Orange,2010,09
06065,16,CA,Riverside,2010,09
06067,17,CA,Sacramento,2010,09
06073,35,CA,San Diego,2010,09
06075,11,CA,San Francisco,2010,09
