County_cd,Deaths,Population,State,County_nm,Year
1001,-1,54571,AL,Autauga,2010
1003,26,182265,AL,Baldwin,2010
1005,-1,27457,AL,Barbour,2010
1007,-1,22915,AL,Bibb,2010
1009,10,57322,AL,Blount,2010
1011,-1,10914,AL,Bullock,2010
1013,-1,20947,AL,Butler,2010
1015,21,118572,AL,Calhoun,2010
1017,-1,34215,AL,Chambers,2010
1019,-1,25989,AL,Cherokee,2010
1021,11,43643,AL,Chilton,2010
1023,-1,13859,AL,Choctaw,2010
1025,-1,25833,AL,Clarke,2010
1027,-1,13932,AL,Clay,2010
1029,-1,14972,AL,Cleburne,2010
1031,-1,49948,AL,Coffee,2010
1033,-1,54428,AL,Colbert,2010
1035,-1,13228,AL,Conecuh,2010
1037,-1,11539,AL,Coosa,2010
1039,-1,37765,AL,Covington,2010
1041,-1,13906,AL,Crenshaw,2010
1043,-1,80406,AL,Cullman,2010
1045,-1,50251,AL,Dale,2010
1047,-1,43820,AL,Dallas,2010
1049,-1,71109,AL,DeKalb,2010
1051,-1,79303,AL,Elmore,2010
1053,10,38319,AL,Escambia,2010
1055,12,104430,AL,Etowah,2010
1057,-1,17241,AL,Fayette,2010
1059,-1,31704,AL,Franklin,2010
1061,-1,26790,AL,Geneva,2010
1063,-1,9045,AL,Greene,2010
1065,-1,15760,AL,Hale,2010
1067,-1,17302,AL,Henry,2010
1069,13,101547,AL,Houston,2010
1071,-1,53227,AL,Jackson,2010
1073,60,658466,AL,Jefferson,2010
1075,-1,14564,AL,Lamar,2010
1077,11,92709,AL,Lauderdale,2010
1079,-1,34339,AL,Lawrence,2010
1081,-1,140247,AL,Lee,2010
1083,14,82782,AL,Limestone,2010
1085,-1,11299,AL,Lowndes,2010
1087,-1,21452,AL,Macon,2010
1089,35,334811,AL,Madison,2010
1091,-1,21027,AL,Marengo,2010
1093,-1,30776,AL,Marion,2010
1095,-1,93019,AL,Marshall,2010
1097,45,412992,AL,Mobile,2010
1099,-1,23068,AL,Monroe,2010
1101,18,229363,AL,Montgomery,2010
1103,18,119490,AL,Morgan,2010
1105,-1,10591,AL,Perry,2010
1107,-1,19746,AL,Pickens,2010
1109,-1,32899,AL,Pike,2010
1111,-1,22913,AL,Randolph,2010
1113,-1,52947,AL,Russell,2010
1115,15,83593,AL,St. Clair,2010
1117,26,195085,AL,Shelby,2010
1119,-1,13763,AL,Sumter,2010
1121,-1,82291,AL,Talladega,2010
1123,-1,41616,AL,Tallapoosa,2010
1125,27,194656,AL,Tuscaloosa,2010
1127,34,67023,AL,Walker,2010
1129,-1,17581,AL,Washington,2010
1131,-1,11670,AL,Wilcox,2010
1133,-1,24484,AL,Winston,2010
2013,-1,3141,AK,Aleutians East ,2010
2016,-1,5561,AK,Aleutians West Cens,2010
2020,38,291826,AK,Anchorage ,2010
2050,-1,17013,AK,Bethel Cens,2010
2060,-1,997,AK,Bristol Bay ,2010
2068,-1,1826,AK,Denali ,2010
2070,-1,4847,AK,Dillingham Cens,2010
2090,10,97581,AK,Fairbanks North Star ,2010
2100,-1,2508,AK,Haines ,2010
2105,Missing,Missing,AK,Hoonah-Angoon Cens,2010
2110,-1,31275,AK,Juneau ,2010
2122,-1,55400,AK,Kenai Peninsula ,2010
2130,-1,13477,AK,Ketchikan Gateway ,2010
2150,-1,13592,AK,Kodiak Island ,2010
2164,-1,1631,AK,Lake and Peninsula ,2010
2170,10,88995,AK,Matanuska-Susitna ,2010
2180,-1,9492,AK,Nome Cens,2010
2185,-1,9430,AK,North Slope ,2010
