County_cd,Deaths,Population,State,County_nm,Year
1001,-1,55027,AL,Autauga,2012
1003,34,190403,AL,Baldwin,2012
1005,-1,27132,AL,Barbour,2012
1007,-1,22645,AL,Bibb,2012
1009,17,57772,AL,Blount,2012
1011,-1,10654,AL,Bullock,2012
1013,-1,20665,AL,Butler,2012
1015,-1,117208,AL,Calhoun,2012
1017,-1,34084,AL,Chambers,2012
1019,-1,26017,AL,Cherokee,2012
1021,-1,43693,AL,Chilton,2012
1023,-1,13549,AL,Choctaw,2012
1025,-1,25148,AL,Clarke,2012
1027,-1,13461,AL,Clay,2012
1029,-1,14928,AL,Cleburne,2012
1031,-1,51180,AL,Coffee,2012
1033,-1,54493,AL,Colbert,2012
1035,-1,13007,AL,Conecuh,2012
1037,-1,11201,AL,Coosa,2012
1039,-1,37842,AL,Covington,2012
1041,-1,13920,AL,Crenshaw,2012
1043,12,80351,AL,Cullman,2012
1045,-1,50296,AL,Dale,2012
1047,-1,42748,AL,Dallas,2012
1049,16,70961,AL,DeKalb,2012
1051,-1,80291,AL,Elmore,2012
1053,-1,38063,AL,Escambia,2012
1055,-1,104215,AL,Etowah,2012
1057,-1,16966,AL,Fayette,2012
1059,-1,31652,AL,Franklin,2012
1061,-1,27012,AL,Geneva,2012
1063,-1,8837,AL,Greene,2012
1065,-1,15393,AL,Hale,2012
1067,-1,17237,AL,Henry,2012
1069,10,103382,AL,Houston,2012
1071,13,53087,AL,Jackson,2012
1073,72,657639,AL,Jefferson,2012
1075,-1,14257,AL,Lamar,2012
1077,-1,92694,AL,Lauderdale,2012
1079,-1,33788,AL,Lawrence,2012
1081,10,148289,AL,Lee,2012
1083,-1,87368,AL,Limestone,2012
1085,-1,10835,AL,Lowndes,2012
1087,-1,20632,AL,Macon,2012
1089,28,342773,AL,Madison,2012
1091,-1,20451,AL,Marengo,2012
1093,-1,30520,AL,Marion,2012
1095,14,94182,AL,Marshall,2012
1097,59,413760,AL,Mobile,2012
1099,-1,22593,AL,Monroe,2012
1101,17,228708,AL,Montgomery,2012
1103,20,120123,AL,Morgan,2012
1105,-1,10184,AL,Perry,2012
1107,-1,19359,AL,Pickens,2012
1109,-1,33113,AL,Pike,2012
1111,-1,22623,AL,Randolph,2012
1113,-1,57626,AL,Russell,2012
1115,10,85168,AL,St. Clair,2012
1117,38,200789,AL,Shelby,2012
1119,-1,13448,AL,Sumter,2012
1121,10,81941,AL,Talladega,2012
1123,-1,41144,AL,Tallapoosa,2012
1125,31,198581,AL,Tuscaloosa,2012
1127,23,66211,AL,Walker,2012
1129,-1,17115,AL,Washington,2012
1131,-1,11355,AL,Wilcox,2012
1133,-1,24171,AL,Winston,2012
2013,-1,3285,AK,Aleutians East ,2012
2016,-1,5688,AK,Aleutians West Cens,2012
2020,62,298527,AK,Anchorage ,2012
2050,-1,17695,AK,Bethel Cens,2012
2060,-1,983,AK,Bristol Bay ,2012
2068,-1,1913,AK,Denali ,2012
2070,-1,4963,AK,Dillingham Cens,2012
2090,10,100330,AK,Fairbanks North Star ,2012
2100,-1,2572,AK,Haines ,2012
2105,Missing,Missing,AK,Hoonah-Angoon Cens,2012
2110,-1,32434,AK,Juneau ,2012
2122,12,56952,AK,Kenai Peninsula ,2012
2130,-1,13711,AK,Ketchikan Gateway ,2012
2150,-1,14051,AK,Kodiak Island ,2012
2164,-1,1644,AK,Lake and Peninsula ,2012
2170,24,93791,AK,Matanuska-Susitna ,2012
