County_cd,Deaths,Population,State,County_nm,Year
1001,-1,51328,AL,Autauga,2006
1003,21,168121,AL,Baldwin,2006
1005,-1,27861,AL,Barbour,2006
1007,-1,22099,AL,Bibb,2006
1009,-1,55485,AL,Blount,2006
1011,-1,10776,AL,Bullock,2006
1013,-1,20815,AL,Butler,2006
1015,-1,115388,AL,Calhoun,2006
1017,-1,34945,AL,Chambers,2006
1019,-1,25466,AL,Cherokee,2006
1021,13,42318,AL,Chilton,2006
1023,-1,14431,AL,Choctaw,2006
1025,-1,26755,AL,Clarke,2006
1027,-1,14053,AL,Clay,2006
1029,-1,14538,AL,Cleburne,2006
1031,-1,46228,AL,Coffee,2006
1033,-1,54413,AL,Colbert,2006
1035,-1,13603,AL,Conecuh,2006
1037,-1,11451,AL,Coosa,2006
1039,-1,37441,AL,Covington,2006
1041,-1,13880,AL,Crenshaw,2006
1043,-1,79044,AL,Cullman,2006
1045,-1,49077,AL,Dale,2006
1047,-1,44323,AL,Dallas,2006
1049,-1,68495,AL,DeKalb,2006
1051,-1,75246,AL,Elmore,2006
1053,-1,37673,AL,Escambia,2006
1055,10,103528,AL,Etowah,2006
1057,-1,17767,AL,Fayette,2006
1059,-1,31134,AL,Franklin,2006
1061,-1,26271,AL,Geneva,2006
1063,-1,9361,AL,Greene,2006
1065,-1,16427,AL,Hale,2006
1067,-1,16953,AL,Henry,2006
1069,-1,95846,AL,Houston,2006
1071,-1,53483,AL,Jackson,2006
1073,65,655893,AL,Jefferson,2006
1075,-1,14816,AL,Lamar,2006
1077,-1,90294,AL,Lauderdale,2006
1079,-1,34028,AL,Lawrence,2006
1081,-1,129247,AL,Lee,2006
1083,-1,73651,AL,Limestone,2006
1085,-1,12124,AL,Lowndes,2006
1087,-1,22227,AL,Macon,2006
1089,-1,309170,AL,Madison,2006
1091,-1,21531,AL,Marengo,2006
1093,-1,30779,AL,Marion,2006
1095,-1,88209,AL,Marshall,2006
1097,40,402916,AL,Mobile,2006
1099,-1,23602,AL,Monroe,2006
1101,12,227291,AL,Montgomery,2006
1103,17,115491,AL,Morgan,2006
1105,-1,10677,AL,Perry,2006
1107,-1,20128,AL,Pickens,2006
1109,-1,31309,AL,Pike,2006
1111,-1,22695,AL,Randolph,2006
1113,-1,50459,AL,Russell,2006
1115,10,75948,AL,St. Clair,2006
1117,18,178841,AL,Shelby,2006
1119,-1,14059,AL,Sumter,2006
1121,10,81991,AL,Talladega,2006
1123,-1,41243,AL,Tallapoosa,2006
1125,24,181383,AL,Tuscaloosa,2006
1127,12,68234,AL,Walker,2006
1129,-1,17705,AL,Washington,2006
1131,-1,12221,AL,Wilcox,2006
1133,-1,24796,AL,Winston,2006
2013,-1,2794,AK,Aleutians East ,2006
2016,-1,5658,AK,Aleutians West Cens,2006
2020,29,280085,AK,Anchorage ,2006
2050,-1,16755,AK,Bethel Cens,2006
2060,-1,1111,AK,Bristol Bay ,2006
2068,-1,1837,AK,Denali ,2006
2070,-1,4833,AK,Dillingham Cens,2006
2090,-1,90545,AK,Fairbanks North Star ,2006
2100,-1,2300,AK,Haines ,2006
2105,Missing,Missing,AK,Hoonah-Angoon Cens,2006
2110,-1,30808,AK,Juneau ,2006
2122,-1,52253,AK,Kenai Peninsula ,2006
2130,-1,13492,AK,Ketchikan Gateway ,2006
2150,-1,13184,AK,Kodiak Island ,2006
2164,-1,1624,AK,Lake and Peninsula ,2006
2170,13,78633,AK,Matanuska-Susitna ,2006
2180,-1,9235,AK,Nome Cens,2006
2185,-1,8315,AK,North Slope ,2006
2188,-1,7467,AK,Northwest Arctic ,2006
2195,Missing,Missing,AK,Petersburg Borough/Cens,2006
2198,Missing,Missing,AK,Prince of Wales-Hyder Cens,2006
2201,-1,5574,AK,Prince of Wales-Outer Ketchikan Cens,2006
2220,-1,9046,AK,Sitka ,2006
2230,Missing,Missing,AK,Skagway Munic,2006
2232,-1,3217,AK,Skagway-Hoonah-Angoon Cens,2006
2240,-1,6817,AK,Southeast Fairbanks Cens,2006
2261,-1,9828,AK,Valdez-Cordova Cens,2006
2270,-1,7292,AK,Wade Hampton Cens,2006
2275,Missing,Missing,AK,Wrangell City and ,2006
