fips,year,deaths_clean,mortality_rate,log_mortality,opioids_in_gm,pop_clean,hhincome_clean,age_clean,white_clean,percent_white,coef_opioids_in_gm,coef_hhincome_clean,coef_age_clean,coef_pop_clean,coef_opioids_per1000_gm
10001,2006,13,8.284581756076419,2.11439616753745,32943.792455175,156918,53183,36.1,104319,66.4799449393951,2.74141927273173e-06,-1.26891340479997e-05,-0.0201970414939563,0.00715995435959438,0.00274141927273173
10003,2006,50,9.3718252941816,2.2377078792193,143130.220184325,533514,62474,36.8,336039,62.9859760006298,2.88929467021918e-06,-1.3110643680355199e-05,-0.031095707484825003,0.00609657961661059,0.0028892946702191802
10005,2006,15,7.85974031418002,2.06175356698692,73912.13125,190846,51046,44.6,145300,76.13468451002379,2.41351620177652e-06,-1.1704590204652802e-05,-0.0119792840094957,0.00878744807421761,0.00241351620177652
11001,2006,101,17.2826830937714,2.84970502295281,51911.766821975,584400,58526,34.3,194910,33.352156057494895,3.6719752167986e-06,-1.60127010544673e-05,0.0296079230567097,-0.00033895420850749104,0.0036719752167986
12001,2006,13,5.32248093118851,1.67193953509961,60803.410442150096,244247,40644,29.7,157835,64.62105982877989,2.0238955500966998e-06,-1.3924263952589999e-05,0.0139368152013475,0.0137282691198308,0.0020238955500967
12005,2006,23,13.7891341622801,2.62388090247215,53644.7260080501,166798,47770,38.7,133079,79.7845297905251,-7.92097302895842e-06,-3.18775979739339e-06,0.15754340340145498,-0.000550475848392296,-0.00792097302895842
12009,2006,107,19.7934452248776,2.98535083364298,152700.87510205,540583,49523,44.6,424096,78.45159762700641,7.96453911355732e-07,-2.61433993438732e-05,-0.0368118567585913,0.0246458031873296,0.000796453911355732
12011,2006,258,14.877700115158,2.6998634553056298,852346.61201088,1734139,51694,39.2,790073,45.559957996446705,1.4925523968147e-07,6.4147810468543e-06,-0.0896668409546315,0.0303099004177536,0.00014925523968147
12017,2006,31,22.0348862004748,3.09262693379116,38988.971586225096,140686,37933,53.5,126698,90.05729070412121,7.881401797205259e-07,-3.10454577962197e-05,-0.0291589003132238,0.0341945473914738,0.000788140179720526
12019,2006,17,9.13605193576818,2.21222833763569,54928.7611048001,186076,61185,37.5,145615,78.255658978052,2.06673261833909e-06,-2.18299265902656e-05,-0.00444923323775015,0.00955041623359776,0.00206673261833909
12021,2006,52,16.4073568063711,2.79772981999998,76992.57466010001,316931,58106,45.8,210889,66.54098210651529,3.8110869626665003e-07,1.4098638036596399e-05,-0.0310458117185561,0.00756753591575521,0.00038110869626665
12023,2006,12,17.9200764589929,2.88592167422255,21971.876495725,66964,38214,39.5,50244,75.0313601338032,2.58990355022692e-06,-1.9370655452394897e-05,0.029403793111566004,0.006100398573023471,0.0025899035502269198
12031,2006,150,17.546979112076098,2.8648818047297104,234609.38192177602,854848,49463,35.4,491961,57.5495292730404,2.49415288267022e-06,-2.44611206172011e-05,-0.00806337742651841,0.0109676412801445,0.00249415288267022
12033,2006,53,17.788816540243,2.87856997558877,79863.46343967509,297940,43573,37.3,199627,67.0024165939451,-5.47669403515002e-06,-4.4772183006643e-05,-0.0991517620320508,0.0110289309630289,-0.00547669403515002
12053,2006,29,17.025073824242497,2.8346871882518703,59223.5139638001,170337,42011,47.0,141271,82.9361794560195,6.10666564690335e-07,-3.18503365739338e-05,-0.035269942322012,0.0343311924828491,0.0006106665646903349
12055,2006,12,12.1448885200441,2.4969083833296,17782.07943,98807,34946,50.7,70924,71.7803394496341,5.66129687374423e-07,-1.4438977174761099e-05,-0.0468706145041224,0.0313226311683747,0.000566129687374424
12057,2006,186,15.4969522660543,2.7406433765948903,822204.783476956,1200236,49536,35.8,663069,55.244885172582705,5.14517922314881e-07,-1.89022252686205e-05,-0.0330786084696761,0.03237131206998,0.000514517922314881
12061,2006,25,18.4477338803701,2.91494153803075,32537.975625175,135518,47341,48.1,106127,78.3121061408817,8.16139795147655e-07,-2.8511181009799297e-05,-0.0345004837799205,0.0280437586546709,0.000816139795147655
12069,2006,19,6.514188932050151,1.8739827104325402,50857.695604950095,291671,46477,45.2,219925,75.4017368884805,1.33011536654801e-06,-2.8600986084540998e-05,-0.0243130032411241,0.019712961556186,0.00133011536654801
12071,2006,98,16.1672151971823,2.7829854384223394,223888.32148985,606165,50014,44.6,436429,71.9983832784803,6.56849210919983e-07,-1.35012608783128e-06,-0.0141435071222951,0.0117333774762258,0.000656849210919983
12073,2006,13,4.80753229367366,1.57018391581105,34167.966839150096,270409,44490,29.3,162573,60.1211498138006,5.50536032177182e-07,-1.06674248865901e-05,0.0889403032674423,-0.0019566266464003897,0.000550536032177182
12081,2006,57,17.8897052592595,2.88422542221775,114286.718213075,318619,47812,45.0,237358,74.4958712443389,8.84649108836031e-07,-1.29297481306187e-05,-0.0369621594985681,0.0314201523894546,0.0008846491088360311
12083,2006,65,19.887832624000602,2.99010811880377,88217.326667925,326833,40339,46.7,245572,75.13684358678591,1.6014563579737101e-06,-1.98934373738663e-05,0.0284067383485063,0.00497631871551985,0.00160145635797371
12085,2006,23,15.936586244647401,2.7686174876058196,48701.127693575,144322,53210,48.9,117175,81.1899779659373,3.9013376035964203e-07,-2.3213072785934e-05,-0.0576648747790021,0.0362403959083961,0.000390133760359642
12086,2006,144,5.8886697903878895,1.7730301301179299,218923.70731029997,2445374,43605,37.7,389318,15.920591287876599,-1.9386408597770002e-07,1.98286653569453e-05,-0.0991690415103523,0.0344025330246964,-0.0001938640859777
12087,2006,20,27.3728871552727,3.30955300361547,31544.72766215,73065,53821,45.7,52904,72.40676110312741,3.19777933441387e-07,3.07964725633405e-06,-0.0544848560827589,0.0206895366645501,0.000319777933441387
12089,2006,12,16.877874513003,2.8260035637634107,21276.431060875,71099,58712,42.2,62409,87.77760587350029,3.0562542727697e-06,-2.7991827237185603e-05,0.00512943548613709,0.00676268119818424,0.0030562542727697
12091,2006,33,18.1242997429645,2.8972535651234703,42405.708664499994,182076,54242,37.6,141597,77.76807486983459,-6.44134376627005e-06,-5.78294769953136e-05,-0.0503967642304133,0.0346856457031635,-0.00644134376627005
