County_cd,State,County_nm,pills
02016,AK,ALEUTIANS WEST,33500
02020,AK,ANCHORAGE,7931745
02068,AK,DENALI,3500
02090,AK,FAIRBANKS NORTH STAR,1887860
02100,AK,HAINES,62800
02110,AK,JUNEAU,804130
02122,AK,KENAI PENINSULA,2106910
02130,AK,KETCHIKAN GATEWAY,551400
02150,AK,KODIAK ISLAND,229900
02170,AK,MATANUSKA SUSITNA,2995860
02185,AK,NORTH SLOPE,1400
02195,AK,PETERSBURG,113900
02198,AK,PRINCE OF WALES HYDER,98800
02220,AK,SITKA,193600
02240,AK,SOUTHEAST FAIRBANKS,61700
02261,AK,VALDEZ CORDOVA,218200
02275,AK,WRANGELL,37800
01001,AL,AUTAUGA,2589110
01003,AL,BALDWIN,7666160
01005,AL,BARBOUR,951130
01007,AL,BIBB,871170
01009,AL,BLOUNT,1416240
01011,AL,BULLOCK,142930
01013,AL,BUTLER,839650
01015,AL,CALHOUN,6251840
01017,AL,CHAMBERS,1491420
01019,AL,CHEROKEE,1490740
01021,AL,CHILTON,1745900
01023,AL,CHOCTAW,625010
01025,AL,CLARKE,1017060
01027,AL,CLAY,550190
01029,AL,CLEBURNE,277590
01031,AL,COFFEE,1812170
01033,AL,COLBERT,4042260
01035,AL,CONECUH,714370
01037,AL,COOSA,157870
01039,AL,COVINGTON,2185550
01041,AL,CRENSHAW,389540
01043,AL,CULLMAN,4237370
01045,AL,DALE,1349020
01047,AL,DALLAS,1351060
01049,AL,DE KALB,2660220
01051,AL,ELMORE,2484550
01053,AL,ESCAMBIA,1670530
01055,AL,ETOWAH,6275140
01057,AL,FAYETTE,585300
01059,AL,FRANKLIN,2310280
01061,AL,GENEVA,903420
01063,AL,GREENE,85930
01065,AL,HALE,371780
01067,AL,HENRY,427370
01069,AL,HOUSTON,4553020
01071,AL,JACKSON,3472740
01073,AL,JEFFERSON,29063050
01075,AL,LAMAR,510680
01077,AL,LAUDERDALE,4036010
01079,AL,LAWRENCE,1301530
01081,AL,LEE,2173070
01083,AL,LIMESTONE,2449740
01085,AL,LOWNDES,42900
01087,AL,MACON,323170
01089,AL,MADISON,14928110
01091,AL,MARENGO,641430
01093,AL,MARION,2392020
01095,AL,MARSHALL,4952610
01097,AL,MOBILE,17295340
01099,AL,MONROE,667630
01101,AL,MONTGOMERY,7026050
01103,AL,MORGAN,6153900
01105,AL,PERRY,158090
01107,AL,PICKENS,460590
01109,AL,PIKE,1021740
01111,AL,RANDOLPH,779930
01113,AL,RUSSELL,2284610
01115,AL,SAINT CLAIR,2547090
01117,AL,SHELBY,6811920
01119,AL,SUMTER,196120
01121,AL,TALLADEGA,3786120
01123,AL,TALLAPOOSA,1279870
