County_cd,State,County_nm,pills
02016,AK,ALEUTIANS WEST,30000
02020,AK,ANCHORAGE,8609670
02090,AK,FAIRBANKS NORTH STAR,2034370
02100,AK,HAINES,59800
02110,AK,JUNEAU,864300
02122,AK,KENAI PENINSULA,2379380
02130,AK,KETCHIKAN GATEWAY,535260
02150,AK,KODIAK ISLAND,261300
02170,AK,MATANUSKA SUSITNA,3166320
02195,AK,PETERSBURG,114000
02198,AK,PRINCE OF WALES HYDER,121600
02220,AK,SITKA,240000
02240,AK,SOUTHEAST FAIRBANKS,88900
02261,AK,VALDEZ CORDOVA,253100
02275,AK,WRANGELL,45800
01001,AL,AUTAUGA,2817500
01003,AL,BALDWIN,8620950
01005,AL,BARBOUR,1009540
01007,AL,BIBB,1058140
01009,AL,BLOUNT,1499320
01011,AL,BULLOCK,191120
01013,AL,BUTLER,975600
01015,AL,CALHOUN,6577979
01017,AL,CHAMBERS,1758270
01019,AL,CHEROKEE,1585780
01021,AL,CHILTON,1902160
01023,AL,CHOCTAW,660700
01025,AL,CLARKE,1044480
01027,AL,CLAY,659820
01029,AL,CLEBURNE,276100
01031,AL,COFFEE,2069940
01033,AL,COLBERT,4475610
01035,AL,CONECUH,812300
01037,AL,COOSA,159340
01039,AL,COVINGTON,2344760
01041,AL,CRENSHAW,443730
01043,AL,CULLMAN,4591560
01045,AL,DALE,1518770
01047,AL,DALLAS,1682220
01049,AL,DE KALB,2986170
01051,AL,ELMORE,2862189
01053,AL,ESCAMBIA,1979780
01055,AL,ETOWAH,7271380
01057,AL,FAYETTE,667240
01059,AL,FRANKLIN,2653600
01061,AL,GENEVA,1000430
01063,AL,GREENE,106530
01065,AL,HALE,398710
01067,AL,HENRY,451300
01069,AL,HOUSTON,4874060
01071,AL,JACKSON,3444800
01073,AL,JEFFERSON,32020841
01075,AL,LAMAR,662800
01077,AL,LAUDERDALE,4469150
01079,AL,LAWRENCE,1659530
01081,AL,LEE,2340130
01083,AL,LIMESTONE,2770330
01085,AL,LOWNDES,94450
01087,AL,MACON,388590
01089,AL,MADISON,16943460
01091,AL,MARENGO,713400
01093,AL,MARION,2836820
01095,AL,MARSHALL,5853430
01097,AL,MOBILE,19164150
01099,AL,MONROE,817450
01101,AL,MONTGOMERY,7939230
01103,AL,MORGAN,6805700
01105,AL,PERRY,163240
01107,AL,PICKENS,564710
01109,AL,PIKE,1193600
01111,AL,RANDOLPH,854480
01113,AL,RUSSELL,2607500
01115,AL,SAINT CLAIR,2962540
01117,AL,SHELBY,7369100
01119,AL,SUMTER,236920
01121,AL,TALLADEGA,4155620
01123,AL,TALLAPOOSA,1407130
01125,AL,TUSCALOOSA,6529240
01127,AL,WALKER,9267240
01129,AL,WASHINGTON,151400
01131,AL,WILCOX,136000
01133,AL,WINSTON,1938139
05001,AR,ARKANSAS,940990
05003,AR,ASHLEY,750860
05005,AR,BAXTER,1824620
05007,AR,BENTON,6651540
05009,AR,BOONE,1655430
05011,AR,BRADLEY,341700
05013,AR,CALHOUN,201000
05015,AR,CARROLL,1590440
05017,AR,CHICOT,587030
05019,AR,CLARK,920380
05021,AR,CLAY,620460
05023,AR,CLEBURNE,1025520
05025,AR,CLEVELAND,16380
05027,AR,COLUMBIA,839860
05029,AR,CONWAY,910000
05031,AR,CRAIGHEAD,4765200
05033,AR,CRAWFORD,3522360
05035,AR,CRITTENDEN,1944600
05037,AR,CROSS,543820
05039,AR,DALLAS,257500
05041,AR,DESHA,435760
05043,AR,DREW,585900
05045,AR,FAULKNER,3020000
05047,AR,FRANKLIN,844400
05049,AR,FULTON,786200
05051,AR,GARLAND,5646949
05053,AR,GRANT,458200
05055,AR,GREENE,3096550
05057,AR,HEMPSTEAD,938680
05059,AR,HOT SPRING,972500
05061,AR,HOWARD,618140
05063,AR,INDEPENDENCE,1875320
05065,AR,IZARD,1144400
05067,AR,JACKSON,713860
05069,AR,JEFFERSON,1649440
05071,AR,JOHNSON,1093600
05073,AR,LAFAYETTE,238170
05075,AR,LAWRENCE,764240
05077,AR,LEE,164500
05079,AR,LINCOLN,163830
05081,AR,LITTLE RIVER,640110
05083,AR,LOGAN,1060860
05085,AR,LONOKE,2017280
05087,AR,MADISON,386060
05089,AR,MARION,589130
05091,AR,MILLER,1966770
05093,AR,MISSISSIPPI,2098550
05095,AR,MONROE,220000
