County_cd,State,County_nm,pills
06039,CA,MADERA,4323890
06041,CA,MARIN,7662880
06043,CA,MARIPOSA,570240
06045,CA,MENDOCINO,5708420
06047,CA,MERCED,8076760
06049,CA,MODOC,633800
06051,CA,MONO,223140
06053,CA,MONTEREY,11719050
06055,CA,NAPA,4532000
06057,CA,NEVADA,5230290
06059,CA,ORANGE,70179119.5
06061,CA,PLACER,18194715
06063,CA,PLUMAS,1564800
06065,CA,RIVERSIDE,64827720
06067,CA,SACRAMENTO,64303160
06069,CA,SAN BENITO,1204000
06071,CA,SAN BERNARDINO,60704280
06073,CA,SAN DIEGO,85644922
06075,CA,SAN FRANCISCO,18208480
06077,CA,SAN JOAQUIN,26710400
06079,CA,SAN LUIS OBISPO,10791850
06081,CA,SAN MATEO,16055960
06083,CA,SANTA BARBARA,13993406
06085,CA,SANTA CLARA,29162583
06087,CA,SANTA CRUZ,9559660
06089,CA,SHASTA,16738020
06091,CA,SIERRA,106200
06093,CA,SISKIYOU,2993575
06095,CA,SOLANO,14979500
06097,CA,SONOMA,18350150
06099,CA,STANISLAUS,30068670
06101,CA,SUTTER,6744340
06103,CA,TEHAMA,3976400
06105,CA,TRINITY,1063240
06107,CA,TULARE,16179840
06109,CA,TUOLUMNE,4840400
06111,CA,VENTURA,22486540
06113,CA,YOLO,6331138
06115,CA,YUBA,4286140
08001,CO,ADAMS,11073300
08003,CO,ALAMOSA,1378550
08005,CO,ARAPAHOE,14500458
08007,CO,ARCHULETA,224600
08009,CO,BACA,64800
08011,CO,BENT,144900
08013,CO,BOULDER,7467710
08014,CO,BROOMFIELD,1942900
08015,CO,CHAFFEE,766420
08017,CO,CHEYENNE,42000
08019,CO,CLEAR CREEK,232400
08021,CO,CONEJOS,249300
08025,CO,CROWLEY,172600
08027,CO,CUSTER,200
08029,CO,DELTA,1504630
08031,CO,DENVER,10998204
08035,CO,DOUGLAS,5713540
08037,CO,EAGLE,1283650
08041,CO,EL PASO,18117590
08039,CO,ELBERT,248800
08043,CO,FREMONT,2121320
08045,CO,GARFIELD,1904060
08047,CO,GILPIN,35300
08049,CO,GRAND,317500
08051,CO,GUNNISON,293400
08053,CO,HINSDALE,200
08055,CO,HUERFANO,353300
08059,CO,JEFFERSON,20404280
08061,CO,KIOWA,61100
08063,CO,KIT CARSON,149800
08067,CO,LA PLATA,1240600
08065,CO,LAKE,194100
08069,CO,LARIMER,8963160
08071,CO,LAS ANIMAS,720500
08073,CO,LINCOLN,239800
08075,CO,LOGAN,714400
08077,CO,MESA,5356320
08081,CO,MOFFAT,578620
08083,CO,MONTEZUMA,997700
08085,CO,MONTROSE,1379550
08087,CO,MORGAN,824960
08089,CO,OTERO,1201500
08091,CO,OURAY,103000
08093,CO,PARK,109000
08095,CO,PHILLIPS,48400
08097,CO,PITKIN,229900
08099,CO,PROWERS,564700
08101,CO,PUEBLO,10646010
08103,CO,RIO BLANCO,64200
08105,CO,RIO GRANDE,316860
08107,CO,ROUTT,648086
08109,CO,SAGUACHE,1700
08113,CO,SAN MIGUEL,73700
08115,CO,SEDGWICK,78100
08117,CO,SUMMIT,672700
08119,CO,TELLER,995830
08123,CO,WELD,7121830
08125,CO,YUMA,226820
09001,CT,FAIRFIELD,18922250.00369
09003,CT,HARTFORD,23042864.008036006
09005,CT,LITCHFIELD,5925810
09007,CT,MIDDLESEX,4777678.006359999
09009,CT,NEW HAVEN,28684026.0015
09011,CT,NEW LONDON,8739430
09013,CT,TOLLAND,3005220
09015,CT,WINDHAM,3871060
11001,DC,DISTRICT OF COLUMBIA,8186150
10001,DE,KENT,6421310
10003,DE,NEW CASTLE,22589453
10005,DE,SUSSEX,12528600
12001,FL,ALACHUA,10038753
12003,FL,BAKER,2155140
12005,FL,BAY,9252840
12007,FL,BRADFORD,1785530
12009,FL,BREVARD,27156550
12011,FL,BROWARD,100634815.5
12013,FL,CALHOUN,394340
12015,FL,CHARLOTTE,8962250
12017,FL,CITRUS,7452420
12019,FL,CLAY,10607570
12021,FL,COLLIER,10909485
12023,FL,COLUMBIA,3946400
12027,FL,DE SOTO,849730
12029,FL,DIXIE,294300
12031,FL,DUVAL,44313440
12033,FL,ESCAMBIA,16385020
12035,FL,FLAGLER,4013530
12037,FL,FRANKLIN,309990
12039,FL,GADSDEN,953350
12041,FL,GILCHRIST,553700
12043,FL,GLADES,94100
12045,FL,GULF,558090
12047,FL,HAMILTON,257330
12049,FL,HARDEE,574360
12051,FL,HENDRY,1471920
