County_cd,State,County_nm,pills
00000,AE,null,330
02016,AK,ALEUTIANS WEST,26700
02020,AK,ANCHORAGE,7164900
02050,AK,BETHEL,100
02068,AK,DENALI,2500
02090,AK,FAIRBANKS NORTH STAR,1848900
02100,AK,HAINES,65100
02110,AK,JUNEAU,725800
02122,AK,KENAI PENINSULA,1774000
02130,AK,KETCHIKAN GATEWAY,587000
02150,AK,KODIAK ISLAND,221300
02170,AK,MATANUSKA SUSITNA,2638470
02185,AK,NORTH SLOPE,1100
02188,AK,NORTHWEST ARCTIC,1680
02195,AK,PETERSBURG,118700
02198,AK,PRINCE OF WALES HYDER,80100
02220,AK,SITKA,198900
02240,AK,SOUTHEAST FAIRBANKS,36200
02261,AK,VALDEZ CORDOVA,188600
02275,AK,WRANGELL,36200
01001,AL,AUTAUGA,2154640
01003,AL,BALDWIN,6339758
01005,AL,BARBOUR,827060
01007,AL,BIBB,754210
01009,AL,BLOUNT,1290295
01011,AL,BULLOCK,112840
01013,AL,BUTLER,673320
01015,AL,CALHOUN,5372756
01017,AL,CHAMBERS,1441830
01019,AL,CHEROKEE,1200310
01021,AL,CHILTON,1520400
01023,AL,CHOCTAW,554090
01025,AL,CLARKE,772930
01027,AL,CLAY,437940
01029,AL,CLEBURNE,256640
01031,AL,COFFEE,1709760
01033,AL,COLBERT,3763480
01035,AL,CONECUH,554120
01037,AL,COOSA,113170
01039,AL,COVINGTON,1861010
01041,AL,CRENSHAW,319320
01043,AL,CULLMAN,3613860
01045,AL,DALE,1217000
01047,AL,DALLAS,1005680
01049,AL,DE KALB,2254370
01051,AL,ELMORE,1949170
01053,AL,ESCAMBIA,1585910
01055,AL,ETOWAH,5712740
01057,AL,FAYETTE,509570
01059,AL,FRANKLIN,2047840
01061,AL,GENEVA,976190
01063,AL,GREENE,51720
01065,AL,HALE,268650
01067,AL,HENRY,326930
01069,AL,HOUSTON,3871250
01071,AL,JACKSON,3237880
01073,AL,JEFFERSON,26208820.0
01075,AL,LAMAR,539620
01077,AL,LAUDERDALE,3591740
01079,AL,LAWRENCE,1318260
01081,AL,LEE,1820690
01083,AL,LIMESTONE,2572280
01085,AL,LOWNDES,44000
01087,AL,MACON,278270
01089,AL,MADISON,12640000
01091,AL,MARENGO,540370
01093,AL,MARION,2045130
01095,AL,MARSHALL,4551340
01097,AL,MOBILE,15095252
01099,AL,MONROE,596500
01101,AL,MONTGOMERY,5953135
01103,AL,MORGAN,5515960
01105,AL,PERRY,133000
01107,AL,PICKENS,321500
01109,AL,PIKE,760080
01111,AL,RANDOLPH,667490
01113,AL,RUSSELL,1956380
01115,AL,SAINT CLAIR,2212220
01117,AL,SHELBY,6167640
01119,AL,SUMTER,135540
01121,AL,TALLADEGA,2973250
01123,AL,TALLAPOOSA,1044690
01125,AL,TUSCALOOSA,5071440
01127,AL,WALKER,7653510
01129,AL,WASHINGTON,136480
01131,AL,WILCOX,82120
01133,AL,WINSTON,1493690
05001,AR,ARKANSAS,754310
05003,AR,ASHLEY,670990
05005,AR,BAXTER,1414270
05007,AR,BENTON,4994860
05009,AR,BOONE,1239530
05011,AR,BRADLEY,224800
05013,AR,CALHOUN,150700
05015,AR,CARROLL,1031270
05017,AR,CHICOT,526170
05019,AR,CLARK,698060
05021,AR,CLAY,433170
05023,AR,CLEBURNE,788420
05025,AR,CLEVELAND,18900
05027,AR,COLUMBIA,601610
05029,AR,CONWAY,808520
05031,AR,CRAIGHEAD,3798400
05033,AR,CRAWFORD,2612180
05035,AR,CRITTENDEN,1711240
05037,AR,CROSS,385380
05039,AR,DALLAS,220800
05041,AR,DESHA,332710
05043,AR,DREW,432200
05045,AR,FAULKNER,2177690
05047,AR,FRANKLIN,569170
05049,AR,FULTON,600890
05051,AR,GARLAND,4485900
05053,AR,GRANT,332000
05055,AR,GREENE,2092470
05057,AR,HEMPSTEAD,706320
05059,AR,HOT SPRING,719560
05061,AR,HOWARD,512810
05063,AR,INDEPENDENCE,1536110
05065,AR,IZARD,664860
05067,AR,JACKSON,460610
