County_cd,State,County_nm,pills
02016,AK,ALEUTIANS WEST,28900
02020,AK,ANCHORAGE,9850612
02090,AK,FAIRBANKS NORTH STAR,3029500
02100,AK,HAINES,44400
02110,AK,JUNEAU,921845
02122,AK,KENAI PENINSULA,2729000
02130,AK,KETCHIKAN GATEWAY,591080
02150,AK,KODIAK ISLAND,290200
02170,AK,MATANUSKA SUSITNA,4136670
02185,AK,NORTH SLOPE,1024
02195,AK,PETERSBURG,48600
02198,AK,PRINCE OF WALES HYDER,109900
02220,AK,SITKA,256600
02240,AK,SOUTHEAST FAIRBANKS,111000
02261,AK,VALDEZ CORDOVA,268700
02275,AK,WRANGELL,59120
01001,AL,AUTAUGA,3525120
01003,AL,BALDWIN,12199702
01005,AL,BARBOUR,1380550
01007,AL,BIBB,1299090
01009,AL,BLOUNT,2066320
01011,AL,BULLOCK,420840
01013,AL,BUTLER,1431010
01015,AL,CALHOUN,8449660
01017,AL,CHAMBERS,2468230
01019,AL,CHEROKEE,2067810
01021,AL,CHILTON,2433290
01023,AL,CHOCTAW,931420
01025,AL,CLARKE,1642660
01027,AL,CLAY,780660
01029,AL,CLEBURNE,395000
01031,AL,COFFEE,2841510
01033,AL,COLBERT,5306110
01035,AL,CONECUH,1063830
01037,AL,COOSA,218450
01039,AL,COVINGTON,3095700
01041,AL,CRENSHAW,566580
01043,AL,CULLMAN,6046090
01045,AL,DALE,2337060
01047,AL,DALLAS,1478800
01049,AL,DE KALB,4326310
01051,AL,ELMORE,4248700
01053,AL,ESCAMBIA,2821410
01055,AL,ETOWAH,9480100
01057,AL,FAYETTE,839790
01059,AL,FRANKLIN,3492860
01061,AL,GENEVA,1272810
01063,AL,GREENE,211780
01065,AL,HALE,559530
01067,AL,HENRY,544800
01069,AL,HOUSTON,6409250
01071,AL,JACKSON,4646000
01073,AL,JEFFERSON,42917598
01075,AL,LAMAR,1062620
01077,AL,LAUDERDALE,5873750
01079,AL,LAWRENCE,1937560
01081,AL,LEE,3271180
01083,AL,LIMESTONE,3612890
01085,AL,LOWNDES,249210
01087,AL,MACON,419720
01089,AL,MADISON,20642314
01091,AL,MARENGO,1144370
01093,AL,MARION,4404800
01095,AL,MARSHALL,9380150
01097,AL,MOBILE,25425208
01099,AL,MONROE,1147990
01101,AL,MONTGOMERY,9457630
01103,AL,MORGAN,8373220
01105,AL,PERRY,209190
01107,AL,PICKENS,677330
01109,AL,PIKE,1669890
01111,AL,RANDOLPH,1237560
01113,AL,RUSSELL,3455270
01115,AL,SAINT CLAIR,3845210
01117,AL,SHELBY,9593300
01119,AL,SUMTER,394710
01121,AL,TALLADEGA,5891760
01123,AL,TALLAPOOSA,1861510
01125,AL,TUSCALOOSA,8064350
01127,AL,WALKER,10716570
01129,AL,WASHINGTON,171220
01131,AL,WILCOX,161320
01133,AL,WINSTON,2478564
05001,AR,ARKANSAS,1173410
05003,AR,ASHLEY,1001560
05005,AR,BAXTER,2644210
05007,AR,BENTON,10277490
05009,AR,BOONE,2422590
05011,AR,BRADLEY,492300
05013,AR,CALHOUN,237300
05015,AR,CARROLL,2020830
05017,AR,CHICOT,855600
05019,AR,CLARK,1369400
05021,AR,CLAY,799600
05023,AR,CLEBURNE,1232000
05027,AR,COLUMBIA,1130470
05029,AR,CONWAY,1219870
05031,AR,CRAIGHEAD,5320260
05033,AR,CRAWFORD,4489070
05035,AR,CRITTENDEN,2047590
05037,AR,CROSS,666960
05039,AR,DALLAS,372800
05041,AR,DESHA,622360
05043,AR,DREW,766530
05045,AR,FAULKNER,4432850
05047,AR,FRANKLIN,1156240
05049,AR,FULTON,784900
05051,AR,GARLAND,7625950
05053,AR,GRANT,728100
05055,AR,GREENE,2711300
05057,AR,HEMPSTEAD,1246170
05059,AR,HOT SPRING,1433560
05061,AR,HOWARD,846930
05063,AR,INDEPENDENCE,2829320
05065,AR,IZARD,1127800
05067,AR,JACKSON,979750
05069,AR,JEFFERSON,2507600
05071,AR,JOHNSON,1509640
05073,AR,LAFAYETTE,229700
05075,AR,LAWRENCE,1035820
05077,AR,LEE,246700
05079,AR,LINCOLN,269520
05081,AR,LITTLE RIVER,756570
05083,AR,LOGAN,1192960
05085,AR,LONOKE,2835660
05087,AR,MADISON,680940
05089,AR,MARION,865330
05091,AR,MILLER,2807530
05093,AR,MISSISSIPPI,2462970
05095,AR,MONROE,234950
05097,AR,MONTGOMERY,313800
05099,AR,NEVADA,349370
05101,AR,NEWTON,169000
05103,AR,OUACHITA,1704860
05105,AR,PERRY,389100
05107,AR,PHILLIPS,1603500
05109,AR,PIKE,975950
05111,AR,POINSETT,1650570
05113,AR,POLK,1400860
05115,AR,POPE,2931980
05117,AR,PRAIRIE,251580
05119,AR,PULASKI,20029274
05121,AR,RANDOLPH,677900
05123,AR,SAINT FRANCIS,911890
05125,AR,SALINE,4775980
05127,AR,SCOTT,620200
05129,AR,SEARCY,327660
05131,AR,SEBASTIAN,11195600
05133,AR,SEVIER,885110
05135,AR,SHARP,898850
05137,AR,STONE,807940
05139,AR,UNION,2327340
05141,AR,VAN BUREN,778730
05143,AR,WASHINGTON,9287100
05145,AR,WHITE,3559780
05147,AR,WOODRUFF,533430
05149,AR,YELL,1147680
04001,AZ,APACHE,746650
04003,AZ,COCHISE,6123880
04005,AZ,COCONINO,3800370
04007,AZ,GILA,3612250
04009,AZ,GRAHAM,2423740
04011,AZ,GREENLEE,114000
04012,AZ,LA PAZ,1033390
04013,AZ,MARICOPA,177657946
04015,AZ,MOHAVE,17434880
04017,AZ,NAVAJO,3784500
04019,AZ,PIMA,48989756
04021,AZ,PINAL,12351740
04023,AZ,SANTA CRUZ,765570
04025,AZ,YAVAPAI,12159570
04027,AZ,YUMA,5784650
06001,CA,ALAMEDA,91928804
06005,CA,AMADOR,2884780
06007,CA,BUTTE,20942640
06009,CA,CALAVERAS,3248970
06011,CA,COLUSA,937030
06013,CA,CONTRA COSTA,36182290
06015,CA,DEL NORTE,2642510
06017,CA,EL DORADO,8610882
06019,CA,FRESNO,35567234
06021,CA,GLENN,1713170
06023,CA,HUMBOLDT,11094220
06025,CA,IMPERIAL,4110550
06027,CA,INYO,835830
06029,CA,KERN,32724505
06031,CA,KINGS,5959990
06033,CA,LAKE,7094570
06035,CA,LASSEN,3036730
06037,CA,LOS ANGELES,224164479.0
06039,CA,MADERA,4985090
06041,CA,MARIN,8043400
06043,CA,MARIPOSA,673420
06045,CA,MENDOCINO,5901360
06047,CA,MERCED,9766830
06049,CA,MODOC,798790
06051,CA,MONO,283630
06053,CA,MONTEREY,13369480
06055,CA,NAPA,4788680
06057,CA,NEVADA,5719880
06059,CA,ORANGE,81769202
06061,CA,PLACER,20122914
06063,CA,PLUMAS,1814960
06065,CA,RIVERSIDE,78693950
06067,CA,SACRAMENTO,64371638
06069,CA,SAN BENITO,1429460
06071,CA,SAN BERNARDINO,71888728
06073,CA,SAN DIEGO,96544178
06075,CA,SAN FRANCISCO,19203690
06077,CA,SAN JOAQUIN,31556930
06079,CA,SAN LUIS OBISPO,12589530
06081,CA,SAN MATEO,17354378
06083,CA,SANTA BARBARA,15782980
06085,CA,SANTA CLARA,31461800
06087,CA,SANTA CRUZ,10444570
06089,CA,SHASTA,18892234
06091,CA,SIERRA,97900
06093,CA,SISKIYOU,3414950
06095,CA,SOLANO,17368530
06097,CA,SONOMA,20388790
06099,CA,STANISLAUS,34932050
06101,CA,SUTTER,7566920
06103,CA,TEHAMA,5003300
06105,CA,TRINITY,1177700
06107,CA,TULARE,19332750
06109,CA,TUOLUMNE,5164620
06111,CA,VENTURA,26213160
06113,CA,YOLO,6607720
06115,CA,YUBA,5039850
08001,CO,ADAMS,13468730
08003,CO,ALAMOSA,1627300
08005,CO,ARAPAHOE,16202270
08007,CO,ARCHULETA,235800
08009,CO,BACA,102200
08011,CO,BENT,220500
08013,CO,BOULDER,8297250
08014,CO,BROOMFIELD,3299800
08015,CO,CHAFFEE,950850
08017,CO,CHEYENNE,56700
08019,CO,CLEAR CREEK,259330
08021,CO,CONEJOS,291700
08025,CO,CROWLEY,207400
08027,CO,CUSTER,1000
08029,CO,DELTA,1493540
08031,CO,DENVER,13067594
08035,CO,DOUGLAS,6267540
08037,CO,EAGLE,1433210
08041,CO,EL PASO,21240950
08039,CO,ELBERT,367330
08043,CO,FREMONT,2266900
08045,CO,GARFIELD,2051140
08047,CO,GILPIN,79000
08049,CO,GRAND,376900
08051,CO,GUNNISON,341400
08053,CO,HINSDALE,100
08055,CO,HUERFANO,439600
08059,CO,JEFFERSON,22546804
08061,CO,KIOWA,73000
08063,CO,KIT CARSON,134400
08067,CO,LA PLATA,1395230
08065,CO,LAKE,287900
08069,CO,LARIMER,10615760
08071,CO,LAS ANIMAS,798470
08073,CO,LINCOLN,247900
08075,CO,LOGAN,716850
08077,CO,MESA,5890870
08081,CO,MOFFAT,758260
08083,CO,MONTEZUMA,1142400
08085,CO,MONTROSE,1627280
08087,CO,MORGAN,1043990
08089,CO,OTERO,1645730
08091,CO,OURAY,129900
08093,CO,PARK,139800
08095,CO,PHILLIPS,92000
08097,CO,PITKIN,212800
08099,CO,PROWERS,628000
08101,CO,PUEBLO,13559480
08103,CO,RIO BLANCO,173700
08105,CO,RIO GRANDE,420800
08107,CO,ROUTT,696852
08109,CO,SAGUACHE,500
08113,CO,SAN MIGUEL,81200
08115,CO,SEDGWICK,127100
08117,CO,SUMMIT,739500
08119,CO,TELLER,1399030
08123,CO,WELD,8810550
08125,CO,YUMA,263160
09001,CT,FAIRFIELD,21541065.67
09003,CT,HARTFORD,24259429.320000004
09005,CT,LITCHFIELD,6450870
09007,CT,MIDDLESEX,5422386.74
09009,CT,NEW HAVEN,31313662.264000006
09011,CT,NEW LONDON,9532816.6
09013,CT,TOLLAND,3235550
09015,CT,WINDHAM,4144970
11001,DC,DISTRICT OF COLUMBIA,9393070
10001,DE,KENT,7862690
10003,DE,NEW CASTLE,24596810
10005,DE,SUSSEX,15581620
12001,FL,ALACHUA,9856464
12003,FL,BAKER,2763790
12005,FL,BAY,10156210
12007,FL,BRADFORD,1665760
12009,FL,BREVARD,30786860
