County_cd,State,County_nm,pills
02016,AK,ALEUTIANS WEST,26100
02020,AK,ANCHORAGE,9344076
02050,AK,BETHEL,1000
02090,AK,FAIRBANKS NORTH STAR,2663000
02100,AK,HAINES,61500
02110,AK,JUNEAU,847805
02122,AK,KENAI PENINSULA,2680700
02130,AK,KETCHIKAN GATEWAY,567600
02150,AK,KODIAK ISLAND,296800
02170,AK,MATANUSKA SUSITNA,3673420
02180,AK,NOME,400
02185,AK,NORTH SLOPE,1100
02195,AK,PETERSBURG,61200
02198,AK,PRINCE OF WALES HYDER,118600
02220,AK,SITKA,265200
02240,AK,SOUTHEAST FAIRBANKS,88000
02261,AK,VALDEZ CORDOVA,278700
02275,AK,WRANGELL,65760
01001,AL,AUTAUGA,3173990
01003,AL,BALDWIN,10862078
01005,AL,BARBOUR,1259920
01007,AL,BIBB,1126890
01009,AL,BLOUNT,1780720
01011,AL,BULLOCK,352290
01013,AL,BUTLER,1144910
01015,AL,CALHOUN,7415370
01017,AL,CHAMBERS,2060470
01019,AL,CHEROKEE,1878210
01021,AL,CHILTON,2113290
01023,AL,CHOCTAW,765280
01025,AL,CLARKE,1360800
01027,AL,CLAY,612040
01029,AL,CLEBURNE,347200
01031,AL,COFFEE,2500550
01033,AL,COLBERT,4756440
01035,AL,CONECUH,971460
01037,AL,COOSA,220830
01039,AL,COVINGTON,2943100
01041,AL,CRENSHAW,541250
01043,AL,CULLMAN,5304290
01045,AL,DALE,2221480
01047,AL,DALLAS,1358560
01049,AL,DE KALB,3734930
01051,AL,ELMORE,3377200
01053,AL,ESCAMBIA,2797790
01055,AL,ETOWAH,8337160
01057,AL,FAYETTE,705660
01059,AL,FRANKLIN,2960000
01061,AL,GENEVA,1132530
01063,AL,GREENE,128000
01065,AL,HALE,477070
01067,AL,HENRY,475150
01069,AL,HOUSTON,6117580
01071,AL,JACKSON,4401780
01073,AL,JEFFERSON,37229100
01075,AL,LAMAR,904880
01077,AL,LAUDERDALE,5064660
01079,AL,LAWRENCE,1568710
01081,AL,LEE,2839770
01083,AL,LIMESTONE,3116220
01085,AL,LOWNDES,206770
01087,AL,MACON,458970
01089,AL,MADISON,18184350
01091,AL,MARENGO,975470
01093,AL,MARION,3707100
01095,AL,MARSHALL,7708220
01097,AL,MOBILE,22832454
01099,AL,MONROE,956050
01101,AL,MONTGOMERY,8544900
01103,AL,MORGAN,7417100
01105,AL,PERRY,170440
01107,AL,PICKENS,583440
01109,AL,PIKE,1427520
01111,AL,RANDOLPH,1035230
01113,AL,RUSSELL,2810340
01115,AL,SAINT CLAIR,3226270
01117,AL,SHELBY,8365010
01119,AL,SUMTER,327800
01121,AL,TALLADEGA,5208330
01123,AL,TALLAPOOSA,1586540
01125,AL,TUSCALOOSA,7204860
01127,AL,WALKER,10160850
01129,AL,WASHINGTON,171480
01131,AL,WILCOX,153630
01133,AL,WINSTON,2252230
05001,AR,ARKANSAS,1133160
05003,AR,ASHLEY,901940
05005,AR,BAXTER,2545280
05007,AR,BENTON,8973540
05009,AR,BOONE,2092620
05011,AR,BRADLEY,405940
05013,AR,CALHOUN,272600
05015,AR,CARROLL,1952150
05017,AR,CHICOT,877200
05019,AR,CLARK,1262420
05021,AR,CLAY,730300
05023,AR,CLEBURNE,1284320
05027,AR,COLUMBIA,995700
05029,AR,CONWAY,1060680
05031,AR,CRAIGHEAD,5233866
05033,AR,CRAWFORD,4135980
05035,AR,CRITTENDEN,2069750
05037,AR,CROSS,534430
05039,AR,DALLAS,316700
05041,AR,DESHA,539980
05043,AR,DREW,662180
05045,AR,FAULKNER,3923400
05047,AR,FRANKLIN,1155300
05049,AR,FULTON,896700
05051,AR,GARLAND,6667510
05053,AR,GRANT,619140
05055,AR,GREENE,2647300
05057,AR,HEMPSTEAD,1132890
05059,AR,HOT SPRING,1179900
05061,AR,HOWARD,751230
05063,AR,INDEPENDENCE,2555210
05065,AR,IZARD,1612000
05067,AR,JACKSON,1047780
05069,AR,JEFFERSON,2230260
05071,AR,JOHNSON,1271320
05073,AR,LAFAYETTE,210190
05075,AR,LAWRENCE,981400
05077,AR,LEE,197200
05079,AR,LINCOLN,234550
05081,AR,LITTLE RIVER,676580
05083,AR,LOGAN,1123100
05085,AR,LONOKE,2684550
05087,AR,MADISON,598800
05089,AR,MARION,861200
05091,AR,MILLER,2522240
05093,AR,MISSISSIPPI,2439100
05095,AR,MONROE,210360
05097,AR,MONTGOMERY,247990
05099,AR,NEVADA,275260
05101,AR,NEWTON,159700
05103,AR,OUACHITA,1506210
05105,AR,PERRY,328760
05107,AR,PHILLIPS,1809160
05109,AR,PIKE,831340
05111,AR,POINSETT,1624030
05113,AR,POLK,1249030
05115,AR,POPE,2624230
05117,AR,PRAIRIE,291880
05119,AR,PULASKI,17563390
05121,AR,RANDOLPH,601700
05123,AR,SAINT FRANCIS,738210
05125,AR,SALINE,4522390
05127,AR,SCOTT,855000
05129,AR,SEARCY,304400
05131,AR,SEBASTIAN,10198290
05133,AR,SEVIER,866930
