County_cd,State,County_nm,pills
06035,CA,LASSEN,3055850
06037,CA,LOS ANGELES,215372589.0
06039,CA,MADERA,4998940
06041,CA,MARIN,8107428
06043,CA,MARIPOSA,725770
06045,CA,MENDOCINO,6041570
06047,CA,MERCED,10543250
06049,CA,MODOC,793190
06051,CA,MONO,283610
06053,CA,MONTEREY,13480880
06055,CA,NAPA,5174290
06057,CA,NEVADA,5697450
06059,CA,ORANGE,81147553.5
06061,CA,PLACER,20499280
06063,CA,PLUMAS,1861310
06065,CA,RIVERSIDE,80636080
06067,CA,SACRAMENTO,66268476
06069,CA,SAN BENITO,1666860
06071,CA,SAN BERNARDINO,73805280
06073,CA,SAN DIEGO,97921656
06075,CA,SAN FRANCISCO,19269740
06077,CA,SAN JOAQUIN,32176470
06079,CA,SAN LUIS OBISPO,13066550
06081,CA,SAN MATEO,17642230
06083,CA,SANTA BARBARA,15019970
06085,CA,SANTA CLARA,32560580
06087,CA,SANTA CRUZ,10409120
06089,CA,SHASTA,19581930
06091,CA,SIERRA,94000
06093,CA,SISKIYOU,3601380
06095,CA,SOLANO,18673250
06097,CA,SONOMA,21289676
06099,CA,STANISLAUS,36658276
06101,CA,SUTTER,7760310
06103,CA,TEHAMA,5224600
06105,CA,TRINITY,1145810
06107,CA,TULARE,20324530
06109,CA,TUOLUMNE,5338240
06111,CA,VENTURA,25780932
06113,CA,YOLO,6918060
06115,CA,YUBA,5265450
08001,CO,ADAMS,13644174
08003,CO,ALAMOSA,1815260
08005,CO,ARAPAHOE,16559485
08007,CO,ARCHULETA,268000
08009,CO,BACA,81900
08011,CO,BENT,232500
08013,CO,BOULDER,8129780
08014,CO,BROOMFIELD,3589760
08015,CO,CHAFFEE,976110
08017,CO,CHEYENNE,52030
08019,CO,CLEAR CREEK,165930
08021,CO,CONEJOS,352560
08025,CO,CROWLEY,212800
08027,CO,CUSTER,1100
08029,CO,DELTA,1505050
08031,CO,DENVER,13569128
08035,CO,DOUGLAS,6596070
08037,CO,EAGLE,1535814
08041,CO,EL PASO,21953468
08039,CO,ELBERT,382800
08043,CO,FREMONT,2310240
08045,CO,GARFIELD,2031010
08047,CO,GILPIN,61700
08049,CO,GRAND,386700
08051,CO,GUNNISON,365120
08053,CO,HINSDALE,700
08055,CO,HUERFANO,433400
08059,CO,JEFFERSON,23637990
08061,CO,KIOWA,62400
08063,CO,KIT CARSON,153000
08067,CO,LA PLATA,1470870
08065,CO,LAKE,272300
08069,CO,LARIMER,10846430
08071,CO,LAS ANIMAS,860960
08073,CO,LINCOLN,253700
08075,CO,LOGAN,814500
08077,CO,MESA,6353620
08081,CO,MOFFAT,726840
08083,CO,MONTEZUMA,1198250
08085,CO,MONTROSE,1657600
08087,CO,MORGAN,1061160
08089,CO,OTERO,1740240
08091,CO,OURAY,136780
08093,CO,PARK,134200
08095,CO,PHILLIPS,83000
08097,CO,PITKIN,217400
08099,CO,PROWERS,688950
08101,CO,PUEBLO,14254780
08103,CO,RIO BLANCO,210700
08105,CO,RIO GRANDE,564680
08107,CO,ROUTT,671380
08109,CO,SAGUACHE,700
08113,CO,SAN MIGUEL,79900
08115,CO,SEDGWICK,144470
08117,CO,SUMMIT,752430
08119,CO,TELLER,1593530
08123,CO,WELD,9161140
08125,CO,YUMA,276500
09001,CT,FAIRFIELD,21802940
09003,CT,HARTFORD,24859300
09005,CT,LITCHFIELD,6506440
09007,CT,MIDDLESEX,5309060
09009,CT,NEW HAVEN,32078540
09011,CT,NEW LONDON,9846110
09013,CT,TOLLAND,3251400
09015,CT,WINDHAM,4129360
11001,DC,DISTRICT OF COLUMBIA,9200430
10001,DE,KENT,6996430
10003,DE,NEW CASTLE,21759610
10005,DE,SUSSEX,11906520
12001,FL,ALACHUA,8896060
12003,FL,BAKER,1964170
12005,FL,BAY,10151200
12007,FL,BRADFORD,1433470
12009,FL,BREVARD,26845870
12011,FL,BROWARD,52763822
12013,FL,CALHOUN,412910
12015,FL,CHARLOTTE,7651220
12017,FL,CITRUS,7703900
12019,FL,CLAY,11009220
12021,FL,COLLIER,9341672
12023,FL,COLUMBIA,4326740
12027,FL,DE SOTO,1048660
12029,FL,DIXIE,272600
12031,FL,DUVAL,47656020
12033,FL,ESCAMBIA,15565320
12035,FL,FLAGLER,4394910
12037,FL,FRANKLIN,378660
12039,FL,GADSDEN,1010790
12041,FL,GILCHRIST,543290
12043,FL,GLADES,53600
12045,FL,GULF,607290
12047,FL,HAMILTON,239000
12049,FL,HARDEE,591660
12051,FL,HENDRY,1320150
12053,FL,HERNANDO,11445340
12055,FL,HIGHLANDS,3451750
12057,FL,HILLSBOROUGH,53504590
12059,FL,HOLMES,795670
12061,FL,INDIAN RIVER,6701040
12063,FL,JACKSON,2160610
12065,FL,JEFFERSON,294660
12067,FL,LAFAYETTE,186070
12069,FL,LAKE,12514160.5
12071,FL,LEE,22290160
12073,FL,LEON,7308350
12075,FL,LEVY,2386360
12077,FL,LIBERTY,114300
12079,FL,MADISON,526900
12081,FL,MANATEE,16146850
12083,FL,MARION,14641690
12085,FL,MARTIN,5335660
12086,FL,MIAMI-DADE,30116904
12087,FL,MONROE,3666580
12089,FL,NASSAU,5226690
12091,FL,OKALOOSA,7609100
12093,FL,OKEECHOBEE,2195070
12095,FL,ORANGE,44361982
12097,FL,OSCEOLA,7773630
12099,FL,PALM BEACH,40482332
12101,FL,PASCO,23486870
12103,FL,PINELLAS,45728180
12105,FL,POLK,21333670
12107,FL,PUTNAM,4800860
12109,FL,SAINT JOHNS,6406210
12111,FL,SAINT LUCIE,8986452
12113,FL,SANTA ROSA,8223290
12115,FL,SARASOTA,16912694
12117,FL,SEMINOLE,14764470
12119,FL,SUMTER,3712390
12121,FL,SUWANNEE,1567380
12123,FL,TAYLOR,1085920
12125,FL,UNION,425450
12127,FL,VOLUSIA,24316478
12129,FL,WAKULLA,1062550
12131,FL,WALTON,3281320
12133,FL,WASHINGTON,1963630
13001,GA,APPLING,1083990
13003,GA,ATKINSON,539190
13005,GA,BACON,1331680
13009,GA,BALDWIN,2414230
13011,GA,BANKS,658230
13013,GA,BARROW,3622790
13015,GA,BARTOW,5710700
13017,GA,BEN HILL,1172630
13019,GA,BERRIEN,910890
13021,GA,BIBB,12445300
13023,GA,BLECKLEY,874890
13025,GA,BRANTLEY,532070
13027,GA,BROOKS,1594450
13029,GA,BRYAN,1864900
13031,GA,BULLOCH,2329460
13033,GA,BURKE,712110
13035,GA,BUTTS,1273280
13037,GA,CALHOUN,124920
13039,GA,CAMDEN,2374880
13043,GA,CANDLER,629800
13045,GA,CARROLL,7684480
13047,GA,CATOOSA,4761210
13049,GA,CHARLTON,654420
13051,GA,CHATHAM,10478378
13055,GA,CHATTOOGA,2033960
13057,GA,CHEROKEE,6884660
13059,GA,CLARKE,6870020
13061,GA,CLAY,88900
13063,GA,CLAYTON,5703210
13065,GA,CLINCH,667130
13067,GA,COBB,21250268
13069,GA,COFFEE,4011120
13071,GA,COLQUITT,1741100
13073,GA,COLUMBIA,4825510
13075,GA,COOK,841390
13077,GA,COWETA,4562754
13079,GA,CRAWFORD,187200
13081,GA,CRISP,1385280
13083,GA,DADE,930820
13085,GA,DAWSON,1343520
13087,GA,DECATUR,1446410
13089,GA,DEKALB,13290540
13091,GA,DODGE,1338140
13093,GA,DOOLY,143180
13095,GA,DOUGHERTY,3610630
13097,GA,DOUGLAS,5891190
13099,GA,EARLY,334400
13103,GA,EFFINGHAM,1732470
13105,GA,ELBERT,1370250
13107,GA,EMANUEL,1237850
13109,GA,EVANS,860700
13111,GA,FANNIN,1627640
13113,GA,FAYETTE,3684800
13115,GA,FLOYD,8583240
13117,GA,FORSYTH,4777540
13119,GA,FRANKLIN,2568300
13121,GA,FULTON,21205660
13123,GA,GILMER,1749410
13127,GA,GLYNN,3817960
13129,GA,GORDON,2836720
13131,GA,GRADY,905260
13133,GA,GREENE,1166690
13135,GA,GWINNETT,19064230
13137,GA,HABERSHAM,2099010
13139,GA,HALL,8018650
13141,GA,HANCOCK,148360
13143,GA,HARALSON,3619510
13145,GA,HARRIS,144530
13147,GA,HART,1476869
13149,GA,HEARD,211200
13151,GA,HENRY,7624080
13153,GA,HOUSTON,7155882
13155,GA,IRWIN,271330
13157,GA,JACKSON,3999340
13159,GA,JASPER,422890
13161,GA,JEFF DAVIS,1079570
13163,GA,JEFFERSON,892150
13165,GA,JENKINS,333890
13167,GA,JOHNSON,269240
13169,GA,JONES,708000
13171,GA,LAMAR,689890
13173,GA,LANIER,318800
13175,GA,LAURENS,3546570
13177,GA,LEE,474690
13179,GA,LIBERTY,1403540
13181,GA,LINCOLN,328300
13183,GA,LONG,125660
13185,GA,LOWNDES,6047030
13187,GA,LUMPKIN,936600
13193,GA,MACON,621480
13195,GA,MADISON,1679320
13197,GA,MARION,21830
13189,GA,MCDUFFIE,1469470
13191,GA,MCINTOSH,961490
13199,GA,MERIWETHER,928720
13201,GA,MILLER,247460
13205,GA,MITCHELL,1103750
13207,GA,MONROE,905260
13209,GA,MONTGOMERY,83600
13211,GA,MORGAN,750920
13213,GA,MURRAY,2062360
13215,GA,MUSCOGEE,10215558
13217,GA,NEWTON,3602060
13219,GA,OCONEE,708850
13221,GA,OGLETHORPE,388810
13223,GA,PAULDING,4125550
13225,GA,PEACH,1193880
13227,GA,PICKENS,1699980
13229,GA,PIERCE,1047130
13231,GA,PIKE,235230
13233,GA,POLK,3871750
13235,GA,PULASKI,1320670
13237,GA,PUTNAM,578020
13241,GA,RABUN,1171880
13243,GA,RANDOLPH,244030
13245,GA,RICHMOND,9307360
13247,GA,ROCKDALE,5084180
13249,GA,SCHLEY,68500
13251,GA,SCREVEN,344870
13253,GA,SEMINOLE,571570
13255,GA,SPALDING,3999300
13257,GA,STEPHENS,3447940
13259,GA,STEWART,157060
13261,GA,SUMTER,1122600
13267,GA,TATTNALL,1270900
13269,GA,TAYLOR,403210
13271,GA,TELFAIR,1081550
13273,GA,TERRELL,267410
13275,GA,THOMAS,2107340
13277,GA,TIFT,2709030
13279,GA,TOOMBS,1991780
13281,GA,TOWNS,594450
13283,GA,TREUTLEN,328820
13285,GA,TROUP,3022420
13287,GA,TURNER,379420
13289,GA,TWIGGS,110100
13291,GA,UNION,1249850
13293,GA,UPSON,1731630
13295,GA,WALKER,3241410
13297,GA,WALTON,4575400
13299,GA,WARE,3449120
13301,GA,WARREN,133700
13303,GA,WASHINGTON,803880
13305,GA,WAYNE,2369870
13309,GA,WHEELER,303500
13311,GA,WHITE,1418590
13313,GA,WHITFIELD,4709680
13315,GA,WILCOX,352890
13317,GA,WILKES,614500
13319,GA,WILKINSON,467190
13321,GA,WORTH,691070
66010,GU,GUAM,564800
15001,HI,HAWAII,8410610
15003,HI,HONOLULU,18018660
15007,HI,KAUAI,2521860
