"reporter_county","reporter_state","total_gms"
"BROWN","SD","54873.88501739996"
"MONTGOMERY","PA","54473.701380000006"
"SAINT CHARLES","LA","50943.215769"
"SAN DIEGO","CA","48639.204077725066"
"WASHOE","NV","43820.89482500007"
"PIMA","AZ","35066.26109250004"
"VENTURA","CA","34342.01310050001"
"LANCASTER","PA","33319.433096999965"
"PUTNAM","NY","31796.882699999995"
"TULARE","CA","31175.014227499873"
"BLAND","VA","30430.126300000014"
"RANKIN","MS","28227.49391250001"
"PORTER","IN","27737.17288500002"
"LEXINGTON","SC","25078.61334650003"
"FAYETTE","KY","23930.89691500002"
"SAN BERNARDINO","CA","23449.557024999955"
"JEFFERSON","CO","22021.580734999996"
"FULTON","GA","21142.910267499985"
"HARRISON","MS","20636.071845000013"
"NEW CASTLE","DE","19259.442900000005"
"BERNALILLO","NM","16672.54062"
"ALLEGHENY","PA","13441.393499999993"
"SAN JUAN","PR","11256.790453999993"
"HARRIS","TX","11246.172982325"
"MONROE","KY","10464.036299999998"
"SOMERSET","NJ","9274.695630000002"
"PONCE","PR","8522.667714999998"
"MUSCOGEE","GA","8466.352514999988"
"ORANGE","NC","7109.865130000001"
"BULLITT","KY","6935.963649999995"
"INDIANA","PA","6866.038154999997"
"SCHENECTADY","NY","6772.912499999997"
"VANCE","NC","5881.536674999995"
"DORADO","PR","5281.259797999998"
"BRONX","NY","5243.178420875"
"MIDDLESEX","MA","4967.460221999994"
"DAWSON","NE","4714.295204999999"
"SCHOHARIE","NY","4219.761083"
"CLARK","NV","3998.4515499999993"
"CHARLESTON","SC","3961.8321889999997"
"NEW YORK","NY","3777.732156"
"DISTRICT OF COLUMBIA","DC","2986.4656250000003"
"DALLAS","TX","2949.9910999999997"
"PIERCE","WA","2841.444900000001"
"WYANDOTTE","KS","2670.6221000000014"
"HILLSBOROUGH","NH","2490.0287499999995"
"RICHLAND","SC","2462.1618000000026"
"LAFAYETTE","MS","1933.420575"
"BUNCOMBE","NC","1908.2207999999996"
"SALEM","VA","1609.9099499999995"
"WILSON","NC","1587.25325"
"WASHINGTON","OR","1513.8027000000022"
"LUZERNE","PA","1497.8579775000005"
"CHEROKEE","AL","1438.4088000000002"
"MIDDLESEX","NJ","1312.2045"
"BOONE","IN","1264.3779000000027"
"DAUPHIN","PA","1255.599600000002"
"YORK","PA","1235.318700000002"
"CANYON","ID","1171.1463000000017"
"LINCOLN","LA","1128.61695"
"HAMILTON","IN","1072.9201500000001"
"MARIN","CA","995.3627369999999"
"LEON","FL","960.685044"
"RICHMOND","GA","712.048057575"
"MARSHALL","AL","681.0749999999999"
"BAYAMON","PR","602.6448875000001"
"TOA BAJA","PR","551.0653500000002"
"BOONE","IA","542.7411000000004"
"KINGS","NY","537.0845025750002"
"BASTROP","TX","488.55779999999993"
"FAIRFIELD","CT","437.00799"
"CABARRUS","NC","423.40162499999997"
"POLK","WI","364.60215"
"TRAVIS","TX","347.04252299999996"
"MUSKINGUM","OH","328.81695599999995"
"POLK","IA","295.74416610000003"
"ESSEX","NJ","268.62203399999953"
"AGUADILLA","PR","260.20815000000005"
"FORSYTH","GA","222.18644999999998"
"CHESTERFIELD","VA","204.77075000000002"
"ST JOSEPH","IN","196.14959999999996"
"TIPPAH","MS","157.1013"
"SIMPSON","KY","145.296"
"HOWARD","MD","121.08"
"DELAWARE","PA","115.34630000000001"
"COLUMBIANA","OH","100.40799999999999"
"HILLSBOROUGH","FL","97.77210000000001"
"NEW HANOVER","NC","82.78281"
"CLARK","WA","74.85715"
"MILWAUKEE","WI","67.36089999999999"
"BUCHANAN","MO","62.65890000000002"
"DESOTO","MS","61.721799999999995"
"PLYMOUTH","MA","55.639900000000004"
"LOVE","OK","52.82115"
"MONMOUTH","NJ","52.44525000000001"
"MONROE","MI","48.431999999999995"
"PASCO","FL","43.6974693"
"SUFFOLK","MA","42.22665"
"JACKSON","IN","39.351"
"MACOMB","MI","36.48225000000001"
"EAST BATON ROUGE","LA","35.712800000000016"
"COBB","GA","30.037999999999997"
"SUWANNEE","FL","28.4695725"
"LIVINGSTON","LA","18.010650000000002"
"MINNEHAHA","SD","16.0431"
"NORFOLK","MA","14.471599999999997"
"HARDIN","IA","13.3188"
"SULLIVAN","TN","13.016100000000002"
"NASSAU","NY","9.125824999999999"
"MACON","NC","9.081"
"ONEIDA","NY","8.964999999999998"
"FLOYD","GA","6.2755"
"SIOUX","IA","5.7513000000000005"
"KALAMAZOO","MI","5.29725"
"BLUE EARTH","MN","4.525365"
"MASON","WV","3.30321375"
